step,rewards,qf1_loss,actor_loss,observations,action
25100,[-215.92274],99457.8125,323.5768127441406,[ 3.92804480e+00  3.14464223e+00  9.86023521e+00 -4.44739511e-03],[1.8506895]
25200,[-103.93321],70490.390625,363.35211181640625,[4.16623330e-01 3.14303774e+00 2.23989365e+00 8.55034249e-04],[0.97862786]
25300,[-256.3991],63067.4921875,428.2242736816406,[ 5.49440168e+00  3.14325285e+00  1.04388817e+01 -9.36231898e-03],[0.78219724]
25400,[-99.87518],60609.4140625,454.5906982421875,[ 0.15069871  3.1425388   1.04980507 -0.00340115],[0.46674034]
25500,[-121.510216],60718.54296875,537.2705688476562,[1.38170063 3.14382343 4.52547013 0.00693802],[1.7639054]
25600,[-155.4378],60407.9921875,582.9679565429688,[ 3.19707449e+00  3.14325766e+00  6.42922347e+00 -3.13747893e-03],[0.99739224]
25700,[-156.19907],45606.43359375,562.2620239257812,[ 3.06913552e+00  3.14339910e+00  6.62660031e+00 -1.30689021e-03],[1.1523792]
25800,[-154.03897],56907.734375,627.9417724609375,[ 3.63384713e+00  3.14256636e+00  5.78028737e+00 -6.99027121e-04],[0.65340674]
25900,[-135.61807],58938.96875,679.0169677734375,[ 2.73442040e+00  3.14272712e+00  4.99927009e+00 -4.48496147e-03],[0.5908135]
26000,[-121.00113],40912.15234375,687.12890625,[1.74978495e+00 3.14295793e+00 4.27327154e+00 1.75714634e-03],[0.9930878]
26100,[-105.693596],55686.23046875,719.61083984375,[ 7.82554109e-01  3.14245668e+00  2.52283013e+00 -8.50182232e-04],[0.5287516]
26200,[-98.32103],46806.90625,730.75146484375,[3.28544733 2.7513264  1.31529822 0.2053708 ],[-0.2500743]
26300,[-105.30032],55945.2109375,820.738037109375,[ 3.21280987  2.84135868  1.80851844 -0.36130859],[-0.3694929]
26400,[-256.5544],47245.9765625,837.1408081054688,[ 8.31612005  3.06918649  5.59985067 -0.04768559],[0.11474746]
26500,[-136.46686],46972.203125,908.7567749023438,[ 2.82017301e+00  3.14253251e+00  4.98795410e+00 -2.90198606e-03],[0.52682054]
26600,[-101.58596],52778.13671875,951.0524291992188,[ 0.24807833  3.14323821  1.62897712 -0.00779453],[0.8173503]
26700,[-181.48543],48638.7734375,962.2183837890625,[5.58799913 3.13016083 5.05279185 0.03798731],[0.02853862]
26800,[-139.56316],52472.7578125,1002.005126953125,[2.96982673e+00 3.14191627e+00 5.08096081e+00 2.97582769e-04],[0.17003226]
26900,[-118.936714],51528.01953125,1049.887939453125,[ 1.37797793e+00  3.14278294e+00  4.25887081e+00 -3.14195950e-03],[0.6789802]
27000,[-285.4527],65733.296875,1132.4918212890625,[ 9.75795855  2.86122108  4.33397254 -0.06031561],[-0.34020635]
27100,[-141.13214],64450.828125,1173.688232421875,[3.84598029e+00 3.14186736e+00 3.92070109e+00 3.09697866e-04],[0.13735273]
27200,[-241.1996],58334.015625,1178.8765869140625,[ 8.40559131  2.95496     3.67724732 -0.96425229],[-0.309228]
27300,[-295.56015],65304.25390625,1273.9427490234375,[ 9.94959078  3.06012198  2.26941523 -0.68787958],[-0.4594286]
27400,[-123.30292],56345.78515625,1191.9404296875,[ 2.35152455e+00  3.14188134e+00  3.86855856e+00 -3.28437008e-03],[0.05977237]
27500,[-130.71486],74703.390625,1243.65673828125,[4.06868857 2.98710558 3.43185628 0.47074993],[0.23154432]
27600,[-164.05324],63962.9296875,1396.15576171875,[ 5.46745165  3.09831575  3.03711356 -0.49862498],[-0.14793333]
27700,[-132.84483],57775.89453125,1378.57666015625,[4.20915845 2.99923861 3.19046755 0.23616663],[0.2000414]
27800,[-157.01878],76044.75,1406.4578857421875,[4.9970568  3.13204586 3.44526801 0.06323307],[0.0529653]
27900,[-171.91823],82288.625,1356.529296875,[ 5.76119486  3.10107703  3.40875972 -0.26863429],[-0.01811978]
28000,[-169.06879],75839.875,1425.1197509765625,[ 5.6407642   3.14516636  3.06759614 -0.0547983 ],[0.3362431]
28100,[-149.78673],78146.34375,1526.307861328125,[ 4.58609102  3.13451175  3.23597286 -0.41892186],[-0.09112334]
28200,[-280.69537],72958.75,1497.302734375,[9.61135766 3.10283257 0.03150246 0.15497901],[0.03224687]
28300,[-132.08138],60227.96875,1550.48974609375,[ 3.96730084  3.0775884   2.58756585 -0.12698695],[-0.3774498]
28400,[-227.31488],65732.9375,1496.725830078125,[ 8.00716828  3.14706539 -0.24050549  0.01639622],[0.0539189]
28500,[-110.790794],77036.421875,1593.70751953125,[ 2.55079531  3.07021078  1.88707052 -0.21944819],[-0.0795657]
28600,[-198.51743],75702.671875,1634.043701171875,[ 7.25892282  3.0481231   0.36382562 -0.16331455],[-0.0900722]
28700,[-117.44639],77891.65625,1695.505126953125,[ 3.1347604   3.06277064  2.21349544 -0.02211513],[-0.07634102]
28800,[-205.90259],82919.6171875,1679.518310546875,[ 7.3175281   3.14290542  0.12571234 -0.01537836],[0.28541616]
28900,[-122.05376],67346.3359375,1572.60595703125,[ 3.30432509  3.09442969  2.2548915  -0.16571849],[-0.10991906]
29000,[-182.714],80751.046875,1695.76806640625,[ 6.56712807  3.10843319 -0.12068148  0.13599286],[-0.01757821]
29100,[-116.628334],83619.296875,1814.125732421875,[ 3.25151746  3.01828582  2.25095599 -0.07633183],[-0.21763796]
29200,[-157.06595],80076.359375,1748.327392578125,[ 5.55129675  3.08428567 -0.27752759  0.01381022],[-0.06231572]
29300,[-114.96122],78747.078125,1832.22265625,[ 2.74698767  3.09959594  2.04700869 -0.15343285],[-0.0882087]
29400,[-154.08978],73344.2421875,1780.88818359375,[ 5.47212869  3.05170954 -0.1301778  -0.29660038],[-0.07332645]
29500,[-109.90769],74056.359375,1792.998779296875,[ 2.68249356  3.05202121  1.66051399 -0.07506052],[-0.1017357]
29600,[-154.26846],76701.34375,1712.0972900390625,[ 5.44772559e+00  3.07456477e+00 -1.72906734e-03 -1.28297372e-01],[-0.06799902]
29700,[-114.44315],74261.3046875,1792.35888671875,[ 2.72920784  3.10725562  1.93213475 -0.02072356],[0.00376979]
29800,[-159.07193],78949.375,1893.8646240234375,[ 5.48682223  3.14309348  0.0239811  -0.02553832],[0.03814831]
29900,[-107.49989],69667.5234375,1835.6749267578125,[2.37963066 3.08224193 1.35604802 0.08863875],[-0.04525685]
30000,[-143.6508],91640.921875,1822.443115234375,[ 4.74939574  3.139438    0.24285598 -0.04549966],[-0.01632824]
30100,[-98.68807],76906.546875,1892.187744140625,[1.59405208 3.06467801 0.68397297 0.30425181],[-0.11914201]
30200,[-115.35868],72336.8984375,1886.4403076171875,[2.90592726 3.13972859 0.24708027 0.02491664],[0.01153877]
30300,[-103.77442],92636.2578125,2004.4278564453125,[1.56675649 3.14350661 0.96024819 0.23304559],[0.02418825]
30400,[-125.86237],102530.4375,1904.1171875,[ 3.9732619   3.05164147  0.38248358 -0.42788264],[-0.18142389]
30500,[-103.33838],77004.3828125,1973.50390625,[1.45738709 3.14417229 0.76149045 0.01642132],[-0.04478049]
30600,[-113.86242],69766.234375,1924.7349853515625,[ 2.78088518  3.13449236  0.20024914 -0.13988203],[-0.38931587]
30700,[-101.33837],65755.1953125,2029.784912109375,[ 1.16935194  3.12645791  0.76584041 -0.15749814],[-0.057473]
30800,[-116.25518],107114.96875,2011.127197265625,[3.09924009 3.11511112 0.40718869 0.04040188],[0.11311531]
30900,[-100.99005],75866.65625,1915.7528076171875,[1.17944932 3.13255727 0.70096167 0.11686724],[-0.00293896]
