step,rewards,qf1_loss,actor_loss,observations,action
25100,[-1478.9905],9772953.0,758.013671875,[-4.12020497  2.61918572 -6.83737513  0.57983583],[-0.14109473]
25200,[-1174.1454],1205885.125,2853.31005859375,[-3.47544962  2.96161284 -6.25746807  1.14375436],[-0.9033757]
25300,[-930.62646],562575.75,3724.777587890625,[-1.40665022e+00  3.16588111e+00 -1.84345663e+00 -1.64446538e-03],[0.40878022]
25400,[-2634.0164],266467.15625,3662.1767578125,[-6.01708911  2.09975919 -9.30766957 -1.35935986],[-3.378253]
25500,[-1059.0107],221760.65625,4133.7900390625,[ 7.57802008e-02  3.14243629e+00  4.11117500e+00 -4.49092589e-04],[0.52425987]
25600,[-5031.141],199936.28125,4958.85595703125,[8.40122707e+00 3.14597892e+00 1.23037162e+01 7.30942188e-03],[3.2512832]
25700,[-1750.1671],194402.34375,5329.009765625,[-4.98259944  1.88193917 -9.80256261 -0.68413974],[-3.5053666]
25800,[-1250.558],170309.90625,6091.22314453125,[2.00922493e+00 3.14255448e+00 2.58737837e+00 1.21071965e-03],[0.74130875]
25900,[-1201.057],209841.8125,6544.814453125,[-2.85079695  2.28682119 -4.89836416 -2.15278727],[-2.379663]
26000,[-1012.0749],167967.734375,7252.611328125,[ 1.01055138e+00  3.14201673e+00  3.79095911e+00 -1.69907543e-03],[0.14699507]
26100,[-2200.8303],225864.15625,7446.0,[ 5.05209607  3.15347448 11.3573508  -0.09655407],[4.849341]
26200,[-990.0587],224279.1875,8754.2861328125,[-0.60956435  3.14327125 -0.05419    -0.01742041],[0.5456831]
26300,[-985.8091],187049.6875,8538.603515625,[ 0.14175741  3.08090998  0.03146313 -0.89971717],[-0.5108142]
26400,[-1005.8833],209976.28125,9440.369140625,[-3.15633995e-01  3.14216465e+00  6.75892018e-01 -9.30787879e-04],[0.23848802]
26500,[-1022.0807],199573.5625,10337.763671875,[-1.02992816  3.14330569 -0.34893013 -0.01489641],[0.6541027]
26600,[-1261.0742],212428.25,10874.5693359375,[-1.7916317   3.13870239 -0.56448538 -0.11394847],[-0.12386521]
26700,[-919.92084],147382.421875,11644.919921875,[-0.24159254  2.73617316 -1.45540487 -1.54673112],[-0.6408059]
26800,[-911.116],209867.75,12303.96875,[1.55625957 2.36745624 1.88507447 0.31239737],[0.34394124]
26900,[-956.6523],187004.34375,13367.0615234375,[ 0.15366415  2.94899279  1.19429283 -0.75432966],[-0.38673156]
