step,rewards,qf_loss,actor_loss,observations,action
90642,[-12023.911],1.133486756976604e+19,-6132864000.0,[0.         3.14159265 0.         0.        ],[40.]
92741,[-12652.61],1.3985693347310731e+19,-6943853568.0,[0.         3.14159265 0.         0.        ],[-40.]
94841,[-12652.61],1.5555500183146988e+19,-8104668160.0,[0.         3.14159265 0.         0.        ],[-40.]
26999,[-26170.262],2253966080.0,167649.15625,[0.         3.14159265 0.         0.        ],[-99.859055]
29999,[-1055.0695],13208567808.0,449712.8125,[0.         3.14159265 0.         0.        ],[-15.756306]
32999,[-4759.8765],58746511360.0,641681.5625,[0.         3.14159265 0.         0.        ],[20.752605]
35999,[-6556.2754],56074199040.0,768989.0,[0.         3.14159265 0.         0.        ],[52.810078]
38999,[-6520.8545],87675797504.0,870622.25,[0.         3.14159265 0.         0.        ],[53.11858]
41999,[-1931.0659],62797824000.0,702776.0,[0.         3.14159265 0.         0.        ],[4.745289]
44999,[-18521.324],65756602368.0,616891.875,[0.         3.14159265 0.         0.        ],[95.37639]
47999,[-793.5717],70883622912.0,457692.3125,[0.         3.14159265 0.         0.        ],[7.3138833]
50999,[-1029.3389],86369107968.0,596170.6875,[0.         3.14159265 0.         0.        ],[-27.678373]
53999,[-966.8824],66563858432.0,521170.03125,[0.         3.14159265 0.         0.        ],[29.630371]
56999,[-2846.6592],75124695040.0,488994.84375,[0.         3.14159265 0.         0.        ],[-27.127827]
59999,[-20806.75],67426926592.0,498045.40625,[0.         3.14159265 0.         0.        ],[54.166306]
62999,[-57558.08],79014395904.0,509902.90625,[0.         3.14159265 0.         0.        ],[100.]
65999,[-9436.977],72940748800.0,576859.6875,[0.         3.14159265 0.         0.        ],[-11.920473]
68999,[-1312.333],102289293312.0,581244.625,[0.         3.14159265 0.         0.        ],[-17.44744]
71999,[-1138.7263],89340985344.0,569353.125,[0.         3.14159265 0.         0.        ],[-34.92906]
74999,[-1195.4645],88049238016.0,536255.5,[0.         3.14159265 0.         0.        ],[-22.302303]
77999,[-772.2084],87713611776.0,605474.625,[0.         3.14159265 0.         0.        ],[-25.056252]
80999,[-879.7489],133113561088.0,414071.0625,[0.         3.14159265 0.         0.        ],[-32.21301]
83999,[-809.93567],94773215232.0,613428.375,[0.         3.14159265 0.         0.        ],[-28.972763]
86999,[-1357.4998],69798952960.0,528522.375,[0.         3.14159265 0.         0.        ],[-25.83741]
89999,[-11404.471],73551691776.0,461822.03125,[0.         3.14159265 0.         0.        ],[12.820141]
92999,[-9581.283],82425217024.0,402077.1875,[0.         3.14159265 0.         0.        ],[82.64845]
95999,[-21153.496],81599414272.0,371436.75,[0.         3.14159265 0.         0.        ],[39.268826]
98999,[-16339.892],76007907328.0,368481.125,[0.         3.14159265 0.         0.        ],[19.884855]
101999,[-5625.7666],108711477248.0,499013.40625,[0.         3.14159265 0.         0.        ],[15.535994]
104999,[-6249.3125],135563231232.0,491894.28125,[0.         3.14159265 0.         0.        ],[15.744961]
107999,[-6300.1836],124020547584.0,606301.25,[0.         3.14159265 0.         0.        ],[45.97527]
110999,[-11892.535],178849808384.0,622309.3125,[0.         3.14159265 0.         0.        ],[5.918117]
113999,[-10082.356],213954035712.0,706782.5625,[0.         3.14159265 0.         0.        ],[11.934808]
116999,[-22774.688],224092651520.0,831773.125,[0.         3.14159265 0.         0.        ],[99.84045]
119999,[-1270.2109],208826040320.0,845036.9375,[0.         3.14159265 0.         0.        ],[-35.230553]
122999,[-6452.226],198120177664.0,798004.3125,[0.         3.14159265 0.         0.        ],[47.861546]
125999,[-6701.0483],246499672064.0,746603.0,[0.         3.14159265 0.         0.        ],[66.77742]
128999,[-6181.829],178852691968.0,698016.125,[0.         3.14159265 0.         0.        ],[46.096775]
131999,[-2685.2153],257320255488.0,666894.8125,[0.         3.14159265 0.         0.        ],[3.7425563]
134999,[-22291.79],509005856768.0,592947.625,[0.         3.14159265 0.         0.        ],[99.99651]
137999,[-10349.943],376044978176.0,229482.765625,[0.         3.14159265 0.         0.        ],[20.091167]
140999,[-50372.844],4654001815552.0,-4836682.5,[0.         3.14159265 0.         0.        ],[-100.]
143999,[-50372.91],5683240849375232.0,-103853120.0,[0.         3.14159265 0.         0.        ],[-100.]
146999,[-50372.836],7.452835987429786e+16,-335442528.0,[0.         3.14159265 0.         0.        ],[-100.]
149999,[-50372.836],3.3253155506067866e+17,-730459328.0,[0.         3.14159265 0.         0.        ],[-100.]
152999,[-50372.836],1.2183063000147558e+18,-1277138432.0,[0.         3.14159265 0.         0.        ],[-100.]
26998,[-13447.054],10279139328.0,393159.9375,[0.         3.14159265 0.         0.        ],[20.742992]
29998,[-35826.316],102877110272.0,881896.25,[0.         3.14159265 0.         0.        ],[-96.24483]
32998,[-20176.422],271736602624.0,1515686.75,[0.         3.14159265 0.         0.        ],[100.]
35998,[-564.8291],388106256384.0,1676964.25,[0.         3.14159265 0.         0.        ],[-6.384354]
38998,[-1287.9438],574949818368.0,2191274.0,[0.         3.14159265 0.         0.        ],[-31.976255]
