step,rewards,qf1_loss,actor_loss,observations,action
7700,[-69.281654],53602.6328125,1210.905029296875,[ 1.80322086  2.56330076 -0.47228345  1.0861239 ],[-1.0746952]
7800,[-87.28399],90702.578125,1227.1746826171875,[-0.03717895  2.78640908 -0.08524791 -2.09506145],[-0.7623538]
7900,[-88.30105],84233.6640625,1298.6826171875,[ 0.1564478   2.94506321 -0.2565626  -0.37343778],[-0.06767978]
8000,[-97.05701],64167.734375,1386.578857421875,[-0.67797249  3.1265207   0.43599348  2.10587251],[0.43256116]
8100,[-84.47558],47405.9765625,1246.3199462890625,[ 0.08948755  2.85885864 -0.92898642 -0.67725796],[-0.6559645]
8200,[-88.40071],51098.39453125,1338.0992431640625,[-1.29435374  2.72047505 -0.42321039  3.37936051],[3.7459893]
8300,[-107.781494],62098.66015625,1215.553955078125,[-0.09962591  3.17654841 -0.83302929 -0.38380369],[2.1056888]
8400,[-79.509186],74330.3125,1403.952392578125,[-0.77843084  2.65743176 -0.89556618  3.07216953],[-1.4538116]
8500,[-94.686485],58907.47265625,1390.17919921875,[-0.29238991  3.09779849 -0.38860969  1.04500881],[0.05410795]
8600,[-97.715416],65337.76953125,1368.283447265625,[ 1.01780642  3.08107745  0.58418153 -0.2080681 ],[-1.0296576]
8700,[-89.28897],50462.54296875,1322.0150146484375,[0.02479624 3.00036432 1.13993779 2.11182863],[0.70614034]
8800,[-103.32561],68129.9375,1341.438232421875,[ 0.04080366  2.66239441 -1.76783788 -4.66861648],[-1.993886]
8900,[-70.97581],50504.4375,1393.9842529296875,[ 0.00421744  2.5711187   0.52755032 -0.69267883],[0.2804979]
9000,[-101.53527],48708.0390625,1305.431396484375,[ 0.0169719   3.08869712  1.42642704 -1.02829677],[0.05430689]
9100,[-93.041214],53376.9609375,1392.0478515625,[ 0.13465174  3.01889664 -0.00612121  0.17874183],[-1.3937697]
9200,[-101.08081],63413.1328125,1481.884033203125,[ 0.82215919  2.97140239 -1.17734126 -2.63868934],[-2.5920658]
9300,[-87.087685],41577.2265625,1338.1131591796875,[ 0.29782224  2.91266231  0.17461889 -0.33900982],[0.26789716]
9400,[-103.78468],71868.96875,1386.6763916015625,[0.61568485 3.17546118 0.260581   1.01683073],[-0.0095078]
9500,[-96.77425],61787.23046875,1469.174072265625,[-0.3346886   3.09930388  0.91561462  0.2950439 ],[0.47605398]
9600,[-79.68111],56663.41796875,1424.5252685546875,[ 0.55247803  2.74746991 -0.36903658 -0.6797777 ],[0.08479834]
9700,[-93.775276],62686.6015625,1382.11767578125,[ 0.40365195  2.5794917   0.45973505 -1.69497737],[2.3032916]
9800,[-68.22145],51232.98828125,1431.259033203125,[ 1.58489916  2.50126256 -0.74880626 -0.59734863],[-0.97581315]
9900,[-98.60907],56411.5859375,1409.0455322265625,[0.18169177 3.14679982 1.08999045 0.76284062],[0.28669536]
25100,[-656.22046],267009.0625,-173.126953125,[ -5.55234587  -0.65864664 -20.88250354  15.54952736],[-16.31805]
25200,[-101.17367],177034.890625,-162.61082458496094,[-2.37076898 -2.57876667 -1.09740126 -6.23851568],[0.8444988]
25300,[-104.363365],183092.1875,-152.20205688476562,[ -0.09034598  -0.85097663   0.84825849 -10.90811254],[3.8193688]
25400,[-60.265713],229341.078125,-133.2144317626953,[-2.2203274   1.55703445  0.25991698  4.55009463],[4.24045]
25500,[-320.74847],177400.328125,-114.87606811523438,[ 1.98235157  3.19187675 14.4094473  -0.59427978],[7.7371044]
25600,[-223.48941],158270.671875,-93.40782928466797,[ 1.6451956   3.15954416 -0.09875116 -8.50914055],[-9.865679]
25700,[-694.5824],168531.28125,-66.0040512084961,[ 5.84761414  3.07755797 20.99318967 -5.4583547 ],[-5.969468]
25800,[-339.9679],182457.75,-32.809959411621094,[ -3.6089894    1.71024254 -10.33242694  -2.10649285],[-16.026772]
25900,[-298.3747],149560.140625,1.4931641817092896,[-4.81388436  2.83426459 -2.24127087  4.97413902],[-9.440907]
26000,[-101.40574],134638.859375,28.03116226196289,[-0.04916807  3.02952168 -1.03026808 -2.18812377],[-0.7616184]
26100,[-301.48328],142478.28125,74.94355773925781,[-10.11138306   0.77301484  -9.47798516   1.86649465],[-11.859236]
26200,[-316.37543],127861.2734375,111.2295150756836,[-4.38890747 -1.72104111  3.45700955  9.62286312],[-6.6277447]
26300,[-224.12798],103595.4375,146.2379913330078,[-5.80558333 -3.17698687 -9.21897779  1.93505101],[-0.6682124]
26400,[-135.32935],92019.828125,177.3166961669922,[-3.32017815  2.83733595  1.96026948  8.14882029],[6.626652]
26500,[-121.99819],81678.328125,220.51010131835938,[-2.98029393  3.06816011 -0.84396643  1.83557721],[3.7718008]
26600,[-223.98108],80322.7890625,268.83050537109375,[ 5.64353178  3.06960708  9.68584734 -0.33042041],[3.7881594]
26700,[-107.98993],96622.3671875,332.4439697265625,[ 0.67427431  3.13534473  2.76786154 -0.50579047],[-0.24925044]
26800,[-63.49176],68468.75,367.280517578125,[-1.16522051  1.68852645 -4.88085141 -1.83991529],[-2.0336828]
26900,[-132.97638],50928.390625,361.08062744140625,[-5.5914614   3.16419044 -1.21541977 -0.26673743],[0.30790362]
27000,[-103.58174],67759.9609375,436.78851318359375,[ 1.39331295  2.40446222 -4.00319268  4.40800535],[4.201436]
27100,[-71.0095],61528.234375,497.144287109375,[-3.28619845  1.5703291  -3.06222565 -2.38001599],[-4.1345687]
27200,[-105.12298],82102.4765625,584.4881591796875,[-0.99942539  3.12898178 -2.21441563  1.75216019],[1.3585252]
27300,[-128.41808],77673.828125,575.349853515625,[3.09115618 2.99100638 5.81594491 1.77591282],[0.40123868]
27400,[-83.38581],69566.609375,682.1607055664062,[-0.0639275   2.54727234 -0.95555197 -1.39787333],[1.4663615]
27500,[-118.44053],66237.984375,697.286376953125,[-3.98042835  3.17735542  0.76944516 -0.24352795],[0.45038936]
27600,[-112.87935],74839.625,731.5066528320312,[3.74178787 2.83077627 1.18176256 6.71045302],[1.7701507]
27700,[-97.86199],81516.390625,785.0486450195312,[ 2.21510344  2.8356229   2.18378141 -1.02934948],[-1.9956274]
27800,[-118.27504],108571.21875,879.6138305664062,[-4.30300481  2.83809413 -4.20064415  2.76818366],[1.2189817]
27900,[-115.10767],82449.8125,912.0185546875,[0.02061185 3.20533303 1.17444498 1.60045842],[0.60570455]
28000,[-77.3839],84598.1953125,942.0379028320312,[-0.44932531  2.79573275 -0.55376366  2.17640231],[0.38262877]
28100,[-108.70938],87983.421875,933.1470947265625,[-1.86495779  3.13764414  2.24259698 -0.38886602],[-0.4010939]
28200,[-87.49037],75005.265625,951.45361328125,[ 1.57155875  2.84116886 -2.03178555  1.98156204],[0.8879752]
28300,[-121.61074],81153.296875,1040.15576171875,[2.94462397 2.77033286 0.06990562 2.05755475],[-4.3649173]
28400,[-96.78874],105883.140625,1132.8070068359375,[ 0.50659945  2.89822399 -0.05249503 -2.64485383],[-2.4962397]
28500,[-115.20011],92680.0,1136.66748046875,[0.81862334 3.12490594 2.51803398 0.20187473],[-2.2260473]
28600,[-78.30618],73365.421875,1243.870361328125,[-0.43088468  2.75133692 -0.93589509  1.18470892],[1.2967669]
28700,[-113.383736],116924.1875,1258.265625,[-2.20510272  3.09310824 -0.19693565  0.70456377],[2.8226485]
28800,[-72.182076],118339.859375,1272.174072265625,[-0.29035362  2.69325409 -0.70918282  0.92691732],[-0.6480673]
28900,[-102.23692],106861.6796875,1344.3939208984375,[ 0.03770574  3.02398289 -0.61263208 -1.43046833],[-3.0332842]
29000,[-89.51524],98475.3203125,1274.1483154296875,[0.35878489 3.01011146 0.61442625 2.20074098],[1.1329187]
29100,[-64.51397],125869.4375,1271.271728515625,[-0.96828803  2.53629345  0.22122205  2.29364921],[1.2020231]
29200,[-106.643456],100585.078125,1328.5703125,[ 0.38872466  3.14013449  2.61422455 -0.26660948],[-0.36198404]
29300,[-101.7708],94923.7578125,1401.623046875,[ 3.24703206  2.68450232 -0.35616245 -3.03937097],[-3.522916]
29400,[-108.13687],102569.8828125,1571.718505859375,[ 2.61040565  3.06636543  0.22498965 -1.95670936],[-0.8786849]
29500,[-93.93274],101201.828125,1488.831787109375,[ 1.61198699  2.98707796 -0.68343091 -0.44823762],[-0.11536914]
29600,[-101.234985],148388.34375,1499.462646484375,[1.41989113 3.09816939 1.89240095 2.61347475],[0.25481075]
29700,[-45.002804],108150.375,1440.6590576171875,[-0.17259319  2.06644937 -0.51902114  0.58853306],[-1.7043493]
29800,[-109.19335],137617.9375,1643.0128173828125,[ 0.42576862  3.06459118  0.79488639 -2.64637361],[-2.7727828]
29900,[-98.708664],133735.4375,1579.5272216796875,[1.03131096 3.02069228 1.01104601 3.62700654],[3.3047633]
30000,[-112.76148],112176.21875,1647.860595703125,[1.63706861 3.1035812  1.20196409 1.01458004],[3.2506921]
30100,[-105.60896],117429.21875,1672.92333984375,[ 1.02271448  3.07696387  0.96043446 -1.33915751],[-2.3663538]
30200,[-69.61223],125077.421875,1667.417236328125,[ 2.02224787  2.54743381 -0.39832529  1.1391627 ],[-1.1806272]
30300,[-84.194214],114519.7109375,1673.607421875,[ 0.5772696   2.68694477  0.35945371 -2.23006079],[-0.6618056]
30400,[-82.599205],148498.96875,1648.48681640625,[ 0.25106021  2.82926728  0.60694016 -0.51459546],[-0.17453718]
30500,[-91.95357],163159.625,1778.9801025390625,[0.92334963 3.02887538 0.71690593 1.28032664],[-0.22879662]
30600,[-74.21239],164210.296875,1672.401611328125,[ 1.55776683  2.62415326 -0.45753547 -0.69820143],[-0.8119924]
30700,[-82.21065],133503.46875,1701.287841796875,[ 0.54649637  2.68341663 -0.05471171  2.81788596],[3.416097]
30800,[-106.108116],115307.4140625,1803.4005126953125,[ 0.40315762  3.15977154  0.19394237 -0.25863755],[2.2195575]
30900,[-91.046974],137301.09375,1774.5833740234375,[ 0.25412828  2.86655977 -0.30306694  3.19885666],[-1.215001]
31000,[-94.62295],162549.96875,1756.733642578125,[0.16228533 3.08868075 0.55543189 0.59875403],[0.22237577]
31100,[-97.28438],173433.0,1809.437255859375,[2.29888989 3.01033773 0.48451536 0.02709513],[-1.0810624]
31200,[-92.594284],104790.421875,1708.0433349609375,[1.41991501 3.02779742 0.87963813 2.06205639],[0.51540774]
31300,[-107.85669],119688.4921875,1764.069091796875,[ 1.22418726  2.70871572 -1.77729403 -4.71261739],[-1.8463833]
31400,[-68.34119],146045.125,1828.8125,[ 1.16609685  2.44544884  0.65677002 -1.10399468],[0.14422742]
31500,[-103.52355],143144.796875,1740.337890625,[ 0.88157521  3.08255926  1.65736569 -1.26859371],[-0.08749101]
31600,[-97.2085],133935.65625,1892.8677978515625,[ 0.17629004  3.06808886  0.80739488 -0.1013641 ],[-1.3019139]
