Action
2.4965258
-2.3800545
-1.6014563
1.2603369
-0.14769284
-0.021538697
0.06417965
0.1280803
0.12316123
0.094317704
0.049583793
0.015671743
-0.0028152391
-0.011535323
-0.01397183
-0.012950439
-0.010460894
-0.0077241375
-0.005355142
-0.003558984
-0.0023265556
-0.0015424658
-0.0010773167
-0.00081447884
-0.000665253
-0.000570938
-0.0005059317
-0.00044498593
-0.00038822182
-0.00032781623
