step,cost,qf_loss,actor_loss,observations,action
460596,[2443.1099],2514.54931640625,-6665.49853515625,[ 0.16748967  0.00863736 -1.55942449  3.31481608],[-3.2203388]
470596,[2372.9749],8595.40234375,-6644.9921875,[ 1.24016149 -0.35547566 -0.02430596 -2.0911762 ],[-1.6054927]
480596,[2853.405],6298.48193359375,-6680.955078125,[-0.12188121 -0.76678313 -5.17476265  3.20618716],[-7.4728]
490596,[2449.821],3790.302001953125,-6681.775390625,[ 0.70701375  0.27571722  0.31836377 -0.2863375 ],[3.380236]
500596,[2740.8762],2528.17822265625,-6698.2314453125,[-1.14899747 -0.36141535  1.49611736 -0.68141504],[-3.469779]
510596,[2708.3406],3270.75537109375,-6708.81396484375,[ 1.86126595 -0.23361832 -2.37839168  1.78486457],[-0.47762096]
520596,[2314.5952],2062.9638671875,-6725.455078125,[ 0.40238082 -0.21796485 -2.59341739  1.930919  ],[1.2078762]
530596,[3604.8674],9797.701171875,-6712.3515625,[ 3.1805861  -0.71921603  1.18355242  1.09423602],[-4.1475906]
540596,[3011.164],2374.782470703125,-6750.7001953125,[-0.50390525 -0.15448614  0.57113231  0.9938255 ],[-3.662721]
550596,[2913.7927],2070.79931640625,-6771.0810546875,[-0.37031728  0.47603591 -0.07166824  0.27378763],[1.4044794]
560596,[2612.7542],6063.5380859375,-6749.349609375,[-0.61111983  0.29146804 -1.75983889  3.26085068],[-1.1439826]
570596,[2687.9587],3359.88623046875,-6806.6767578125,[-1.39124901  0.15328753 -1.34405825  1.75594651],[-3.8783996]
580596,[2577.441],3400.1484375,-6827.150390625,[-0.38144167 -0.51602904 -1.2539015   2.17406932],[-7.118269]
590596,[2631.3594],2542.60693359375,-6838.59375,[-0.03757465 -0.3707298  -1.81395716  1.73254325],[-5.326817]
600596,[2359.7734],1964.2071533203125,-6869.8349609375,[-0.19459984 -0.23707421  0.86655396  1.23679251],[-3.2105508]
610596,[2745.0269],2043.822509765625,-6867.259765625,[-1.28029992  0.17176648 -0.3409041   2.48050593],[-1.2799225]
620596,[3156.74],7092.5986328125,-6892.8193359375,[-0.0781414   0.24972266  0.0600546   2.83413427],[-3.1048868]
630596,[2867.3865],4040.096435546875,-6892.91357421875,[ 0.67259427 -0.01644401  1.95833447 -3.77941173],[5.491365]
640596,[3384.469],3993.36181640625,-6919.58984375,[-2.22979392  0.34729323 -1.6443088   1.94510497],[-1.0927637]
650596,[4131.0425],1846.62744140625,-6946.05908203125,[ 0.38678422  0.11073095  1.30591452 -2.14565757],[2.005832]
660596,[2662.9512],1916.6103515625,-6958.384765625,[-0.6160065   0.29708917 -1.33507797  2.42428919],[1.6168857]
670596,[2810.6707],1928.507080078125,-6962.064453125,[ 1.32058051 -0.24232779  0.45934297 -3.53792155],[-0.5793037]
680596,[2850.387],4892.220703125,-6973.455078125,[ 0.16590065  0.21369507 -1.98738037  2.96107394],[0.92489135]
690596,[2245.9497],2168.67529296875,-6982.814453125,[ 0.22438619 -0.21731835  2.2973641  -3.30215763],[2.3104293]
700596,[3053.3306],3738.103515625,-6986.78564453125,[ 0.51419272 -0.11070601 -0.3812441  -0.38714579],[-0.15100268]
710596,[2824.9412],2280.68115234375,-7016.30224609375,[-0.35996769 -0.03102863  1.12944873  0.88393924],[-2.5778062]
720592,[2674.9531],2901.30810546875,-7008.4912109375,[-0.16475697 -0.0815753  -1.63165284  2.81366956],[-4.894653]
730592,[2888.2769],2604.547119140625,-7014.35400390625,[ 0.00290727 -0.28550425  0.66601847 -2.07020173],[0.4010913]
740592,[2662.8896],2644.16357421875,-7003.73046875,[ 0.44543897 -0.1638203  -1.12925062  1.46247392],[-2.1503544]
750592,[3363.4348],4665.66943359375,-7009.9306640625,[ 1.00523404 -0.11984455 -0.95381009  0.79996754],[0.3318561]
760592,[2596.341],2054.61328125,-7020.185546875,[-1.26750651  0.29909482  1.76878028 -4.58044092],[5.537792]
770592,[2830.367],4210.36328125,-7036.009765625,[-0.33576579  0.01358506 -0.58012829 -1.43727046],[2.7289057]
780520,[2551.1287],2285.720703125,-7043.62158203125,[-0.222135    0.00837483  2.59268265 -3.17586366],[2.3791137]
790520,[3036.8494],4230.53173828125,-7037.5546875,[ 0.59763927 -0.11942343 -2.47569564  4.48875303],[-3.8345003]
800520,[3235.7756],1536.3597412109375,-7059.50390625,[ 0.23275519 -0.19984934  0.97965931  0.3602143 ],[-1.4834541]
810520,[2160.8916],2110.909912109375,-7060.4736328125,[-0.42444027  0.03994516  0.00322573  1.02407156],[1.7489338]
820520,[3337.6555],3103.1142578125,-7073.376953125,[ 0.1927021  -0.46560448 -0.24446142  2.66144954],[-6.898148]
830520,[3208.1326],2686.61083984375,-7090.3125,[ 0.48949295 -0.26394256  2.30760914 -0.60515934],[-3.9962223]
840520,[2383.364],2351.90576171875,-7080.84619140625,[ 1.74218008 -0.30694856 -1.94440779  1.01239103],[-1.0491829]
850444,[2865.3643],2645.159912109375,-7073.5546875,[ 0.79154912 -0.08996613 -2.73709445  3.09407848],[-3.2370696]
860444,[2923.4834],1994.963134765625,-7071.330078125,[-0.4678307  -0.02732876  0.01380247  1.93839673],[-2.2624133]
870444,[2326.2378],2821.98681640625,-7063.94775390625,[-0.99982944  0.16355829  2.13194284 -3.56525249],[1.2826028]
880444,[2790.6016],2711.206787109375,-7067.4716796875,[ 0.32643733 -0.23075672 -1.48339583  3.44054611],[-5.985303]
890444,[3005.474],3113.88525390625,-7083.3583984375,[ 1.31241391  0.19160767 -2.1114397   3.3042702 ],[0.69067776]
900444,[2956.7766],4397.5009765625,-7079.99560546875,[ 1.15464281 -0.41349364  0.96925175 -2.41304718],[-2.818964]
910444,[2811.857],2705.626953125,-7074.888671875,[-1.18635536e-03 -3.05713162e-01 -1.20912986e+00  2.61655449e+00],[-4.3066397]
920444,[3326.8032],2096.232421875,-7086.9873046875,[-3.26469593e-02  1.18641225e-03 -1.76825296e+00  3.38266970e-01],[0.8863803]
930444,[2433.2454],2310.91455078125,-7065.88525390625,[-0.4295974  -0.06108554 -1.61194107 -0.33035645],[-0.5355268]
940444,[2657.3352],2982.462646484375,-7086.5810546875,[-0.61363309 -0.03048121  0.12851637  0.67911469],[-0.9131088]
950444,[2252.568],2681.113037109375,-7093.54296875,[-0.38164984  0.32438932 -0.72062426  0.20746987],[2.308278]
960444,[2573.8423],1938.1533203125,-7110.365234375,[ 0.18112847 -0.09883962  1.01050748  0.74003536],[-1.8515126]
970444,[3067.2205],2418.224853515625,-7123.10498046875,[ 0.41371172 -0.09993536  0.9403108   0.11543651],[-2.0249264]
980444,[3068.9656],1678.0684814453125,-7134.4296875,[-1.87464671  0.2764511  -0.02338973  0.71375356],[-2.8110428]
990444,[2412.7048],2158.84521484375,-7126.708984375,[-0.00365785  0.2277546  -2.11608973  2.56402648],[1.03972]
