step,cost,qf_loss,actor_loss,observations,action
28694,[10155.028],947212.4375,2109.78662109375,[-1.28792062  2.76363472 -0.33385558 -2.27551096],[0.2940393]
38694,[10011.318],335357.875,1751.343505859375,[ 1.39657621  3.61598859 -0.20590155  0.0177048 ],[-0.4902451]
48694,[9907.797],350414.65625,1376.25146484375,[ 0.47425176  2.18774844 -0.78979576 -0.11786013],[-1.0152777]
58694,[10642.399],148581.15625,1373.396240234375,[ 0.75990842 -2.06066932  2.69948217 -6.1320729 ],[2.0370753]
68694,[10294.1875],153313.671875,1293.949462890625,[-0.65651105  2.64861946 -0.77927319 -1.28159038],[-0.0622161]
78694,[10478.3955],161371.015625,917.5960693359375,[-0.75685613  2.8256298   0.19225245 -3.41475283],[-1.2556692]
88694,[10162.407],102213.328125,684.4375,[ 0.01944604  2.9194822   0.5301819  -2.33907601],[-1.3299694]
98694,[9944.539],57799.015625,454.0137939453125,[ 0.30263573  3.23713248  0.57062741 -1.41247224],[5.0445175]
108694,[10676.158],96386.5625,259.0302429199219,[0.6807418  3.28013376 0.89122487 2.53312414],[3.414183]
118694,[10957.617],59015.17578125,-127.56855773925781,[1.8285781  1.9531569  1.32878303 3.6419208 ],[6.1504374]
128694,[11465.933],6618.814453125,-475.3432312011719,[ 1.72349956  2.45032826 -2.06515779  5.64167308],[-4.966052]
138649,[10321.931],3388.3310546875,-707.9747314453125,[ 1.36374686  2.17572344  1.01181856 -0.48420555],[0.75925606]
148649,[10851.488],4184.34033203125,-877.115234375,[-0.10490707  1.4195495  -1.31364433 -0.64203406],[0.19061409]
158649,[10916.512],3598.316650390625,-975.91748046875,[ 0.85986765  1.80984381 -1.6599819  -1.59660292],[1.710977]
168649,[10665.076],3981.25830078125,-1068.959716796875,[-0.07719264  3.18173369  1.60803449  7.5955827 ],[3.315701]
178649,[11208.784],3669.63916015625,-1168.1358642578125,[-0.473416    2.83987227  2.60829908 15.05319003],[4.9202433]
188649,[11489.996],5933.3603515625,-1250.046630859375,[-1.38859904  2.16982345 -0.05794304  2.22043062],[7.754621]
198649,[9159.77],7378.0927734375,-1428.97998046875,[ 0.46229281  0.30476809 -1.5098939  -0.09174239],[1.2238842]
208649,[8170.091],4501.458984375,-1708.01318359375,[-1.08131341 -2.34885111  0.76495216  2.67337355],[-1.2826716]
218649,[6936.77],7217.51708984375,-2093.0283203125,[-0.97068228  0.70966747  0.67627244  1.12669003],[5.4975615]
228649,[5290.1274],10000.6240234375,-2741.27294921875,[ 0.30196089 -0.18722066  0.7506905   0.54062745],[-2.5420713]
238649,[3705.2856],14313.765625,-3764.45166015625,[-1.81437325  0.06807134 -0.1008559  -0.5057565 ],[-0.5436529]
248649,[4377.0317],20459.37109375,-5029.57373046875,[-0.89183767  0.21735723  0.31198097  1.34329095],[-3.4865308]
255109,[7286.5757],1565768.75,-8564.080078125,[12.08528298  4.62186688 50.06021944 -1.11606306],[29.819344]
255795,[21534.893],15192268.0,-15564.482421875,[12.41419738 -8.14283622 25.39404604 -1.68395567],[-29.999945]
256664,[20750.742],623195776.0,-40057.7265625,[-16.46535998  -3.30943736 -75.32273653  -0.52020454],[-30.]
257554,[11497.395],2527759360.0,-63264.34375,[10.56459743  2.1166779   4.70818755 23.86344823],[-29.093445]
258593,[26867.566],6370564096.0,-93572.296875,[-15.30274853  -2.69941807 -70.09129991  23.47880468],[-28.235016]
259849,[27922.242],13846731776.0,-130698.546875,[-14.74991119  -3.5419026  -76.16134805   1.56019651],[-30.]
261102,[27955.672],24092514304.0,-175215.25,[-14.84698699  -3.55353216 -76.26276795   1.57627146],[-30.]
262336,[27235.695],39191449600.0,-221686.203125,[-14.45125437  -3.71784331 -46.40902165  25.86832659],[29.999096]
263568,[26519.393],58569109504.0,-272865.625,[-13.10902697  -0.67428988 -33.18087949  48.53908889],[30.]
264806,[27949.027],90983497728.0,-325165.8125,[-14.77633985  -3.55488813 -76.20103937   1.57817584],[-30.]
266047,[27184.488],129288699904.0,-400596.6875,[-14.26490412  -3.65611149 -46.08065822  26.16161539],[30.]
267312,[27291.586],188460875776.0,-481922.3125,[-14.68146935  -3.75961067 -46.76368049  25.64851697],[30.]
268529,[27216.416],254595989504.0,-570312.5625,[-14.31872409  -3.72181445 -46.27758271  25.84832166],[30.]
269752,[27252.783],338255413248.0,-639823.375,[-15.58789702  -2.85127079 -70.99733956  22.76770903],[-30.]
271012,[27956.354],449810989056.0,-766350.6875,[-14.78793812  -3.55894298 -76.22193245   1.58383392],[-30.]
272235,[27944.592],539842510848.0,-867938.8125,[-14.74900124  -3.55482545 -76.18175887   1.57806579],[-30.]
273506,[27951.438],948563476480.0,-1096292.5,[-14.76087411  -3.55739399 -76.19786231   1.58166409],[-30.]
274756,[27427.139],1454016823296.0,-1282088.5,[-15.9321318   -2.91777198 -71.45728784  22.72273291],[-30.]
276063,[21847.584],1915402190848.0,-1489510.5,[-11.85762071   0.12374183 -72.32900905  -0.68113079],[-30.]
277274,[26106.516],2278859210752.0,-1628950.0,[-14.95470364   1.96417457 -78.68549826  17.74927129],[-30.]
