epsilon,cost_mean,cost_variance,error_mean,error_variance
0.0,2111.0943681640624,16024.432790656743,0.0160182497739662,6.75623924717387e-07
0.01,2179.5736560058594,21705.478144476147,0.20057113711577312,0.01388789291050865
0.02,2380.2060339355467,86596.65533920041,0.39982774241854996,0.05184232557824799
0.03,2715.8781196289065,377050.65794631076,0.5988971610873394,0.11680716148261099
0.04,3180.71871875,1186231.3136776194,0.794100769409537,0.20920998130509572
0.05,3777.6448217773436,2850522.243918098,0.9899346354605718,0.3282666746668641
0.06,4518.757466308593,6148904.841028162,1.1865408913652873,0.48476218170565855
0.07,5409.393249511719,11867049.161446925,1.3868984074068698,0.6746846203787076
0.08,6423.332273925781,19733392.59998813,1.5866063613970351,0.8801277278936332
0.09,7562.039271972656,30196618.953590605,1.7855946942231704,1.101157699028664
0.1,8844.2921484375,45353472.17867838,1.9847219777667198,1.3461013890518034
0.2,39357.07639648437,1119060576.7497149,4.639990341279976,6.351731777270433
0.3,66421.99069726563,1753544985.180391,5.8682298418638235,6.907378686280696
0.4,84530.79181640624,2706478091.5296955,6.542641565185113,8.357017014319513
0.5,99400.4175546875,4247162157.8114877,7.048114075301545,11.575374874404549
