epsilon,cost_mean,cost_variance,error_mean,error_variance
0,2106.34220336914,16107.70846836,0.0029262778135922,1.56676617873902E-07
0.01,2174.89239404297,21143.4831698689,0.201482038325684,0.0128848335063893
0.02,2380.14531079102,94922.2650078823,0.40207481313364,0.0528432688138873
0.03,2726.81163964844,445653.57883244,0.603386134712707,0.12429686015989
0.04,3218.18456054687,1407730.95150623,0.805837379490482,0.228210716329689
0.05,3851.46307763672,3379226.74092752,1.01031941170704,0.357820662393058
0.06,4634.02636181641,6441196.09051202,1.22104804402145,0.506110617812147
0.07,5569.86407666016,10841841.4680865,1.43685718065525,0.669432658628204
0.08,6716.02874316406,17763097.7045509,1.66779189084229,0.849623424613847
0.09,8165.93530957031,29905066.2228856,1.92292618799845,1.08837456451222
0.1,10595.5916923828,90418942.4961534,2.24329754863915,1.4730295541299
0.2,52628.0346503906,1278512538.19461,5.18171569337735,5.481518145083
0.3,65201.2333359375,1249613173.16014,5.70236115807515,5.31608307944631
0.4,78595.2360703125,1721196840.18656,6.23729310142965,6.32181069387247
0.5,91025.2362539062,2440735134.16556,6.66023248218169,7.74929796810249
