epsilon,cost_mean,cost_variance,error_mean,error_variance
0,10704.1978978207,7283722.14464934,2.04031527425845,0.438662911046128
0.1,10907.3281095806,7024151.48235644,2.1025272132294,0.410348326942983
0.2,10863.192526727,6657122.60970778,2.10022559829864,0.382154119338544
0.3,10955.225832648,7213640.15009263,2.10343980801112,0.430450299316115
0.4,11202.3565738076,8526072.41270665,2.12504861442479,0.490975557363834
0.5,11264.5914268092,7576980.4930862,2.13443262726067,0.436584065375248
0.6,11095.5888157895,8944113.57161123,2.07328623301297,0.518226775732083
0.7,11250.6386924342,10063472.4179615,2.07968396614956,0.580197010846301
0.8,11593.1406969572,10845860.8022643,2.12606141140241,0.58937194727302
0.9,12111.9888774671,13579148.4478601,2.20550042717226,0.639193775138003
1,12759.9046258224,20386098.2335904,2.27962836556874,0.779976321054517
1.2,14038.1555715461,29869619.713199,2.42465998080757,0.785356970794173
1.4,16231.6814453125,65975444.7610158,2.60252335122314,1.10456664014151
1.6,16632.6177631579,77728546.5175879,2.54002511848275,1.42301453390274
1.8,18031.4233244243,88775156.8454228,2.72045855172364,1.57489792970328
2,20080.1128854852,117120774.30122,2.95376445814295,1.78803993014751
3,36907.3840768914,589598661.531114,4.1233265156919,3.71253301992466
4,50504.5194181743,1200685243.1637,4.56395924961704,4.79053837177741
5,65739.7217310855,1663892415.06168,5.23148711514004,5.65033489572245
