epsilon,cost_mean,cost_variance,error_mean,error_variance
0,10260.1606689453,6122790.69090394,1.43138567367677,0.377160652498166
0.1,10335.5312255859,6714840.94688382,1.43706580647807,0.384004379104079
0.2,10496.6197900391,7611784.3936247,1.45167106139604,0.436237232345101
0.3,10609.0931201172,8974236.83029491,1.47758112521031,0.425394692372994
0.4,10860.6797460938,9874404.00579071,1.52076798601014,0.426029440569424
0.5,10949.3922460938,11063874.6123204,1.5055234966503,0.471525651900639
0.6,11200.6842480469,14413545.8788548,1.51301691681545,0.476546219443423
0.7,11463.1169824219,15333263.4780161,1.52912695152944,0.540916359834185
0.8,16781.6615869141,2058767718.12781,1.73059172226291,1.64932002766307
0.9,13018.3169433594,36739884.1778999,1.68235374217677,0.6148044157064
1,13712.8865625,46221603.5786986,1.7631522611104,0.696348587908914
2,23157.6967285156,142613008.653364,2.59244315005048,1.40661197788938
3,60040.4264453125,4217432315.77524,4.25398048387794,5.52033877209195
4,134464.158203125,130719130852.648,5.73491052106923,13.8110611090845
5,184201.314589844,465326160537.394,6.49690976705728,17.5249705026109
