step,cost,qf_loss,actor_loss,observations,action
25164,[5637.863],974024.9375,-175.33270263671875,[ 11.0574961   -4.83783937  11.6563711  -32.64614357],[-9.950857]
28603,[15810.238],20710.638671875,226.67257690429688,[-9.63873493  3.5720866  -6.80494735 -8.84016374],[-4.7461166]
38239,[11873.713],13208.572265625,89.30995178222656,[ 0.0245913   2.20631234 -1.76417513 -9.66192851],[-3.2542174]
48239,[10756.297],9460.9033203125,-31.763996124267578,[ 0.10935201  0.32866576 -1.64960167  5.98654898],[-4.0257025]
58239,[11045.188],11019.25,-234.47726440429688,[0.41147597 3.38166024 1.5027347  7.40119823],[2.5874858]
68239,[10657.07],10512.513671875,-371.7966003417969,[ 0.92484693  3.21129919 -3.06212438 -6.98474234],[-7.914091]
78214,[11032.891],7795.33984375,-579.8447265625,[-2.57823601  2.03822601  2.30607644 -1.55798633],[0.8995856]
88159,[11249.215],14979.11328125,-872.7271118164062,[-1.58219238  3.31301561  0.75583693 -4.17914344],[-5.7993097]
98151,[4251.4927],9874.4296875,-2479.8857421875,[-2.87939542 -0.0637672  -0.95575016  1.68291658],[-3.2511222]
108096,[2178.3245],22152.095703125,-3226.357177734375,[-3.66507644 -0.01507692  1.0840501  -2.79245989],[3.6762884]
118096,[2783.2637],10350.873046875,-4161.47998046875,[-1.80338836 -0.06198432  0.05667333  0.42435424],[0.335643]
127996,[2341.147],13231.458984375,-4556.47607421875,[-2.47684539  0.08645328  0.36683442 -0.69890074],[2.1482906]
137996,[2470.33],17244.546875,-4943.90283203125,[-1.29196423 -0.17248088 -0.03735093 -0.17813048],[-1.6129835]
147899,[1942.3517],8467.7099609375,-5252.619140625,[-1.25900098  0.01981858 -0.47866135  1.82539257],[-1.6380042]
157899,[2310.115],27532.9453125,-5184.55126953125,[-1.78868366  0.32525941 -0.27410768  0.96058653],[3.3153434]
167899,[2532.6477],7080.3818359375,-5613.06396484375,[-0.99827173 -0.11721733  0.34324605 -1.3265551 ],[0.7736806]
177899,[2163.232],3977.84326171875,-5815.912109375,[-0.64108528  0.05850151 -1.43754989  3.91985377],[-3.2856758]
187899,[1896.043],11265.9287109375,-5894.80078125,[-1.21484367 -0.01102671 -1.37753294  1.859987  ],[0.20401296]
197899,[2612.1616],2741.4814453125,-6045.0361328125,[-0.55175753  0.03103992  0.26840227 -0.441493  ],[0.7472592]
207899,[2513.5845],4503.294921875,-6103.7138671875,[-0.52741902 -0.29005827 -1.38049873  0.55053338],[1.1957157]
217899,[2220.14],6303.01416015625,-6169.1806640625,[-0.451899    0.39496215 -2.4795568   4.31596867],[-1.5704917]
227899,[2414.398],4802.31591796875,-6230.255859375,[-0.64819202  0.20139027  0.84270822 -3.87603595],[7.294841]
237899,[2407.8596],3752.77294921875,-6237.34228515625,[-0.00668272  0.06076219 -0.75811552  2.94090821],[-2.6997871]
247899,[2484.9934],4218.5625,-6310.2783203125,[-0.08566568 -0.06079655  1.08860343 -1.21789693],[0.4533413]
257899,[2862.2595],2578.3291015625,-6400.5947265625,[-0.08914189 -0.1434213  -0.92638503  1.31315381],[0.04775194]
267899,[2406.6914],4301.041015625,-6488.62744140625,[ 0.60159049  0.12062055  1.94290154 -3.38324356],[3.9953864]
277899,[2577.7625],3946.454833984375,-6529.3642578125,[ 0.54595791 -0.18979579 -2.42392836  3.99951456],[-4.6168494]
287899,[2782.868],4561.57958984375,-6588.6279296875,[ 0.72136794 -0.38837342 -0.77561295  2.01396523],[-2.9627335]
297899,[2656.8105],3272.363525390625,-6636.1787109375,[-1.15852699  0.12598988 -1.22539605  1.26874864],[-1.4211777]
307899,[2335.9739],6597.48583984375,-6667.2158203125,[-1.16619821 -0.09389043  0.88718519 -0.97671618],[-1.8910294]
317899,[2538.8376],2512.2060546875,-6681.91162109375,[-0.28200467 -0.01627183 -0.69593502 -0.16870174],[1.6169027]
327899,[2495.1675],2391.754150390625,-6712.9453125,[ 1.27054288 -0.00642147  3.28268589 -4.71027193],[4.9538245]
337857,[2577.1968],2453.350830078125,-6727.47802734375,[-0.31336511  0.07677998 -0.20613121 -0.24775805],[-0.22689892]
347857,[2773.7373],7163.41748046875,-6748.74560546875,[ 0.01077574 -0.11126831 -0.38335272  1.96542737],[1.0176512]
357857,[2652.8704],5013.30859375,-6735.2646484375,[-0.06790715 -0.04351482  1.10026157 -0.91321414],[-1.3063636]
367857,[2577.0027],2953.60205078125,-6789.6708984375,[ 1.68047267e-01 -1.00024981e-03  1.19736471e+00  1.46274225e+00],[-2.1632056]
377857,[2773.0762],3801.34423828125,-6801.7587890625,[-0.01280157  0.29672396  0.50620815 -0.88862101],[4.9452477]
387857,[5407.508],8987.541015625,-6793.9716796875,[ 0.27480148 -0.04826465 -0.93585068  3.51659802],[-2.9229908]
397857,[2775.639],2801.837646484375,-6849.322265625,[ 0.50602443  0.23276622 -1.05935349  0.58143249],[2.6790674]
407857,[3124.019],1600.4228515625,-6860.6416015625,[ 1.72199031 -0.22012442  1.45265313 -0.78521365],[2.2749956]
417857,[2866.5347],6086.02392578125,-6831.873046875,[-0.89679637 -0.26675936  1.38099777 -1.46980052],[-1.1980287]
427857,[2730.616],2070.3642578125,-6881.470703125,[-2.36633979  0.20799332 -3.02813032  3.41289361],[-2.4277208]
437857,[2735.4167],2572.846923828125,-6911.478515625,[ 0.10445222  0.22286471  3.0938043  -3.60012949],[4.9831376]
447857,[2929.5645],2546.131591796875,-6937.4462890625,[-0.1006047   0.29386761  0.51148393 -0.61479495],[5.603872]
