epsilon,cost_mean,cost_variance,error_mean,error_variance
0,6367.62541118421,911065.410175411,1.10188009717616,0.130852448760236
0.1,6410.98425678454,1003500.46420424,1.11160720782277,0.137025840238737
0.2,6467.04438219572,1034795.57103605,1.12625410656474,0.132967243372724
0.3,6544.08132195724,1159687.99782933,1.14140952965539,0.140901382786867
0.4,6609.00188630757,1269036.58519707,1.14742222571909,0.157801264698905
0.5,6740.8076223273,1349779.30272137,1.17868273031314,0.155482224041182
0.6,6991.96059827303,1862587.11552311,1.23309966789794,0.199566778228641
0.7,7304.0857370477,2464793.10306561,1.30812486105415,0.211507400286671
0.8,7596.42489206415,3503735.59533757,1.35924690746562,0.280210050204918
0.9,7825.27744140625,4469152.0679621,1.38870515393295,0.326090559933335
1,8198.6476459704,5520351.66194225,1.46497167914584,0.35331658178463
1.2,9037.79907483553,9629447.81188872,1.61502469126467,0.450855154051775
1.4,10484.7953176398,28004844.6475498,1.82397454581664,0.719754256740335
1.6,13299.2175678454,138830424.469601,2.04021475947516,1.06749001347193
1.8,16697.0548262747,361165286.445606,2.34504190920229,2.07652215024687
2,18618.4915193257,483924074.546414,2.48466422068462,1.93815442843728
3,45384.6372532895,2361813098.09528,4.15902328701447,5.4563077921163
4,96793.0447882401,13285617834.7865,5.29041920717193,6.26828635012163
5,151672.024886924,35638405197.8889,6.29439844854959,8.68481570270023
