step,cost,qf_loss,actor_loss,observations,action
25242,[4113.521],1025946.5,-152.61822509765625,[-10.06140738   2.48114365 -23.10054442  10.32827607],[-0.1239577]
30259,[9880.031],806774.75,2381.21337890625,[ 0.78741418  1.8733458  -1.87432437 -3.5688057 ],[-0.60174596]
40259,[10298.33],305857.9375,1655.343017578125,[ 3.09895423  2.3694701   0.83280051 -2.37404842],[0.04556807]
50259,[9868.748],240809.875,1476.785888671875,[ 0.8695761   3.3138321  -0.84023666  1.45457677],[-1.3117263]
60259,[9824.007],141861.21875,1332.261962890625,[ 0.35321423  3.46548157  0.30859984 -0.2534132 ],[0.27077368]
70259,[10001.741],184726.34375,1302.4210205078125,[-0.6383228   3.13703289 -0.53997549  2.57474115],[0.89261365]
80259,[10103.574],168515.125,985.041259765625,[ 0.05057144  3.38879702 -1.54198441 -0.93414995],[-3.088825]
90259,[10124.94],209362.765625,751.4697265625,[-0.2992094   3.33672946  0.80495534 -0.31252349],[0.8115066]
100259,[10361.846],210336.578125,581.2720947265625,[0.28226392 3.12518431 1.26666731 3.15159103],[0.3108721]
110259,[10158.653],196996.578125,495.8140869140625,[ 1.14635311  3.15489323 -4.60523797 -8.2549198 ],[-5.186915]
120259,[10573.621],89075.375,327.43408203125,[1.52855288 3.2549965  0.81823762 2.67669735],[-0.85205144]
130259,[10754.706],166290.703125,148.8680419921875,[ 1.62866166  2.41955601 -0.53338965  0.82672498],[1.1957059]
140259,[11250.992],68013.40625,49.18135452270508,[ 2.5844432   3.01725136  0.78593571 -1.25674416],[-0.90723073]
150259,[11220.826],83053.875,-208.42340087890625,[ 1.61851398  3.18602971  0.33140274 -1.14100474],[2.765051]
160259,[11180.952],193647.75,-169.625244140625,[ 1.36246659  3.22966281 -2.84209729 -4.51889545],[-0.98631215]
170259,[11169.593],49138.44140625,-280.05657958984375,[ 2.51964686  2.07959387  0.78814759 -1.0592981 ],[-0.9190862]
180259,[12458.841],157365.671875,-468.2403259277344,[ 2.77726836  3.01489238 -1.51884482 -2.17880636],[-0.2065268]
190259,[11093.471],28106.9296875,-509.8526306152344,[-0.10140916  3.30971087  2.7484409   7.17301319],[3.9739175]
200259,[11554.181],63675.62109375,-483.3597412109375,[ 1.79731648  2.22278674 -0.19439212 -2.8421996 ],[-0.7074308]
210259,[12023.221],57592.40625,-580.6509399414062,[ 1.08483009  3.44854501  0.94792763 -0.66622017],[1.5902631]
220259,[11597.737],41294.171875,-688.6019287109375,[ 0.46289809  3.73957422  0.41290555 -1.70079316],[-0.00882989]
230259,[11880.131],258972.03125,-729.3497314453125,[ 0.75306632  2.53647746 -2.30487045 -8.30163347],[-2.654596]
240259,[12766.153],19602.869140625,-802.6334228515625,[ 2.16567936  3.61810651 -0.68409868  1.94158523],[-2.5795298]
250259,[12228.638],36402.125,-918.453125,[-0.99736007  4.20108495  0.55790009 -0.60431602],[2.7943149]
260259,[12797.573],83648.296875,-836.1873779296875,[ 0.39346457  2.27191777 -1.14171623 -2.28589959],[-0.2928504]
270259,[13233.123],32723.1953125,-893.905517578125,[ 0.79229127  3.15730031 -3.56964577 -8.351605  ],[-2.91995]
280259,[12186.195],37287.5859375,-971.6190185546875,[-0.31275974  3.49147682 -1.05085192  1.30733929],[0.390976]
290259,[12428.464],18062.984375,-934.3162231445312,[ 0.94265585 -2.79954851 -0.82748067  1.46122844],[0.01454472]
300259,[11724.848],16024.486328125,-1073.2752685546875,[ 2.27501301  2.40507664 -0.90220672  3.50951277],[-5.898658]
310259,[12849.637],27516.17578125,-994.5764770507812,[ 0.84920683  0.7034696  -4.54383669  0.88011681],[-3.8534455]
320259,[13443.475],26313.3984375,-1080.1612548828125,[ 1.12865023  2.30641267 -5.14685621 -2.35249864],[-5.0398197]
330259,[11090.55],33111.4375,-1237.603759765625,[ 1.52518297 -2.95789551  0.18697574 -3.09686089],[-3.5085998]
340259,[13326.715],29438.890625,-1256.8270263671875,[ 2.82905156 -3.48116936  1.94299571  2.09821154],[-4.754726]
350259,[9650.765],29871.24609375,-1322.739013671875,[ 3.08621155  2.65189884 -3.30511955 -6.91347129],[-4.92451]
