step,rewards,qf1_loss,actor_loss,observations,action
526009,[5581.747],80685.828125,-2352.23876953125,[10.38572524  3.18579316  5.12611956 -0.09852533],[0.7509159]
532637,[1988.8004],20688.09765625,-2182.0419921875,[ 1.27600206 -0.00527893 -0.16719606  0.18569676],[-0.140365]
542260,[8632.271],6420.8720703125,-1920.969970703125,[-0.67270814  0.27098734  0.40432381 -0.49404851],[0.8816161]
552260,[3466.761],8250.068359375,-1737.19873046875,[ 1.24073961 -0.0241196  -0.26181228  1.11095436],[-1.8449299]
562260,[1228.9806],8613.9462890625,-1295.922119140625,[ 1.8148217  -0.10025645  0.01050944 -0.1028039 ],[-0.18463579]
572260,[2426.3438],6815.4462890625,-1098.252685546875,[-4.64602205 -0.05403588 -0.34069393  0.07587238],[-0.10246927]
582260,[2291.3315],2768.78125,-1008.8564453125,[-2.58232779 -0.03935744 -0.03875996 -0.05635713],[0.01925576]
592260,[694.1611],2455.138916015625,-838.0455322265625,[ 0.44010649  0.00250384 -0.13079706  0.36361753],[-0.6290394]
602260,[941.68274],5578.888671875,-680.677978515625,[0.57989047 0.01270902 0.0187173  0.13862389],[0.10465279]
612260,[1029.4092],3456.004150390625,-579.9422607421875,[ 1.70077024e+00  9.31039781e-04  4.87645026e-01 -3.40002413e-02],[0.00973189]
622260,[771.24066],2033.020751953125,-476.1591491699219,[-0.89255803  0.00528849 -0.10455302 -0.00771855],[0.02275841]
632260,[793.1976],577.22607421875,-529.56298828125,[-0.7788497  -0.00720945 -0.00709328  0.12757054],[-0.13198382]
642260,[923.06775],339.12841796875,-525.0211181640625,[-6.51995546e-01 -5.43881781e-04 -3.53882867e-02  6.74396677e-02],[-0.13562483]
652260,[692.2407],182.87771606445312,-500.5046081542969,[ 0.31398082 -0.0177009  -0.07709731  0.11195644],[-0.26985916]
662260,[785.9116],55.55488586425781,-466.2462158203125,[ 1.08875783 -0.02038651  0.09628432 -0.15294129],[0.02234785]
672260,[876.31036],70.72624206542969,-382.5379638671875,[-1.22788151  0.06364252 -0.12983756  0.03262995],[0.23452163]
682260,[648.765],36.04773712158203,-359.5523681640625,[-0.53421678  0.018577    0.03850405  0.02208828],[0.11226828]
692260,[768.53046],48.88092041015625,-319.72607421875,[ 0.60786602 -0.03152064 -0.10109464  0.19750031],[-0.3921805]
702260,[3628.1028],26.0578670501709,-268.292236328125,[ 6.14520353 -0.01698999  0.15254469 -0.04296472],[-0.18039405]
712260,[737.4441],419.325927734375,-201.47976684570312,[-0.32314246 -0.01182003 -0.08614922  0.03070965],[-0.02412404]
722260,[811.6765],34.243465423583984,-161.54591369628906,[ 9.21291935e-01  5.68926470e-04  3.26197721e-01 -7.65383488e-01],[1.194124]
732260,[930.9781],40.12752151489258,-92.02600860595703,[ 1.01050411 -0.02109043 -0.21423872  0.42277357],[-0.6025523]
742260,[674.9425],30.543567657470703,-49.955692291259766,[-0.48252342 -0.02526803  0.07130995  0.25136901],[-0.0967233]
752260,[722.31213],39.734619140625,-31.391639709472656,[-0.54945467  0.02941461 -0.19783484 -0.15889291],[0.41475746]
762260,[830.4772],89.31743621826172,-26.920209884643555,[ 1.08143958  0.01000787 -0.01859443 -0.01073596],[0.17184044]
772260,[1190.2786],321.7914733886719,-58.38164520263672,[ 0.87943202  0.00426127 -0.50455404  1.15152919],[-1.7850317]
782260,[1066.6697],96.42204284667969,-35.806739807128906,[-1.78081315  0.05802075 -0.26801842  0.05862941],[0.4003863]
792260,[1766.8657],88.84071350097656,-71.08381652832031,[-2.76723594 -0.02998831  0.15170998 -0.01447372],[-0.1821023]
802260,[694.41125],177.3445587158203,-83.86336517333984,[-0.96708477 -0.05999836 -0.53329885  0.06432933],[-0.1548698]
812260,[863.29266],33.17306900024414,-43.32482147216797,[ 1.27764868  0.02849168  0.08300587 -0.12722785],[0.2522023]
