step,rewards,qf1_loss,actor_loss,observations,action
31086,[10039.86],383272.875,2431.542724609375,[1.8281109  3.12683786 0.10530618 0.04590524],[0.02606833]
41086,[9899.761],165208.9375,2201.46875,[2.36611732 2.56810503 0.23469352 3.57836525],[1.1230593]
51086,[9945.776],140195.1875,2727.79248046875,[-1.51234015  3.13833032 -0.02084148  0.10761712],[-0.02782589]
61086,[10364.934],298845.78125,3557.38427734375,[-2.57651128e+00  3.12949944e+00  2.48872286e-03 -4.77351869e-03],[0.08679182]
71086,[10710.635],229461.140625,4158.2109375,[-3.18618968  3.1164117   0.00653282  0.06366301],[0.03092402]
81086,[11054.448],222817.0625,4275.01171875,[-2.97326778  3.02402267 -0.6822026  -1.49085295],[0.4242947]
91086,[11568.697],288963.5,4291.8154296875,[-4.12297573  2.96744919  0.76305927  1.84999708],[1.9260347]
101086,[17572.285],123587.3203125,4220.8134765625,[-4.86375345  2.42186687 -1.28716116 -2.22776102],[-1.1671196]
111086,[15061.422],106387.3125,4452.529296875,[-2.28464256  3.70950489 -2.5599119  -6.70696558],[-2.7165651]
121086,[12506.53],150468.9375,4568.65869140625,[0.64967586 2.80366518 1.74405802 8.44938597],[6.6225343]
131086,[12061.266],169676.828125,4766.806640625,[0.96824972 3.45784742 4.3598993  8.94321821],[7.624358]
141086,[12579.228],92555.71875,4274.1328125,[1.1955303  3.95382933 2.33091183 3.10821492],[-2.1864066]
151086,[13991.2705],66563.4140625,4386.130859375,[0.61688873 1.75817378 0.34696546 0.91694133],[-2.2159996]
161086,[14915.821],94885.1171875,4483.2890625,[-0.82014774  1.9393102  -0.94739624  1.52617825],[-4.284594]
171086,[15522.018],70970.765625,4945.0205078125,[-0.50703855  3.68456516  1.56916095 -8.13027559],[-1.3815839]
181086,[15209.824],81430.5703125,5822.8876953125,[ 0.72713028  1.626448    1.68447934 -2.39166714],[-0.31790876]
191086,[13849.406],29499.26953125,6574.7294921875,[-0.84021245  1.45537225 -6.09188943 -1.54801386],[0.07489875]
201086,[14042.054],29406.49609375,7092.984375,[ 0.40007012  3.23026763  0.46853465 -6.502154  ],[-0.49155736]
211086,[12852.254],31658.41796875,7649.44677734375,[ 4.05148803  3.14219482 -1.23573239 -1.60917432],[-4.482624]
221086,[10187.063],35662.28125,7777.69482421875,[ 0.02408599 -3.14828624 -0.27420599  0.01747572],[-0.06307468]
231086,[9645.174],16332.4326171875,7631.2236328125,[-1.7799634  -2.86448783 -0.80358574  1.84674389],[1.8256328]
241086,[9797.529],43648.46875,7706.1162109375,[-2.19970524 -2.54481286  2.36717504 -1.45131814],[1.2873821]
251086,[10602.586],31624.259765625,7541.6552734375,[ 0.56882604 -0.40125656  3.02757896 -4.05210851],[1.9978768]
261086,[10141.763],36140.734375,7511.35205078125,[-1.6300036  -3.1136884  -1.01185209 -2.87751626],[-4.4779053]
271086,[11677.649],18289.888671875,7404.1474609375,[ 0.02747644 -3.12691431 -1.97197996 -4.15350505],[-5.8667436]
281086,[10417.792],27927.23828125,7291.4501953125,[ 3.29221945 -3.15554982 -1.41751859 -0.01326752],[-0.6697422]
291086,[10632.992],17330.1875,7259.212890625,[ 2.56405405 -3.09692643  0.25489779 -0.23572806],[0.2248708]
301086,[10666.216],33192.4375,7130.90087890625,[ 3.8854024  -3.24040142 -1.24041646 -0.02805682],[-0.83238024]
311086,[11874.65],39342.8515625,7330.396484375,[ 0.63535269 -2.71308332 -1.47095201 -0.23832691],[1.3507133]
321086,[10320.831],12409.8369140625,7300.40185546875,[ 1.39429771 -2.8074333   0.41817085 -0.41285816],[1.9711621]
331086,[11160.993],26112.55078125,7455.33544921875,[ 2.21357789 -3.08848857 -1.68202033 -5.93285292],[0.82141566]
341086,[9526.165],14679.298828125,7509.3662109375,[ 2.6401332  -2.52307322 -2.1190445  -7.13878679],[-4.5134964]
351086,[8997.306],9166.33203125,7572.81884765625,[ 0.74216166 -2.24404293  0.3640129   0.06230948],[4.860329]
361086,[9259.629],27067.873046875,7699.97265625,[-0.00702005 -2.50997687  0.61826677  0.10311584],[1.0791714]
371086,[6885.9536],5298.4990234375,7662.42578125,[ 0.16679595 -3.04931493 -0.47848321  0.61031837],[0.26985064]
381086,[9360.355],4750.32421875,7742.671875,[ 0.66142957 -2.5530477   0.3703818   1.42618072],[1.2009319]
391086,[9601.1045],14779.455078125,7700.1865234375,[ 0.5441379  -2.92635917 -1.11207631 -3.71362429],[-2.143827]
401086,[10732.719],5601.86181640625,7773.5458984375,[ 1.25971702 -3.94641008 -2.03171186  4.37769428],[-0.3565069]
411086,[9674.601],5144.80078125,7811.60546875,[ 2.22703734 -3.60932228 -3.32386696  2.64743305],[0.07954213]
421086,[8482.01],12007.70703125,7901.79443359375,[ 1.92950595 -1.87864582  6.17608871 -0.38067596],[3.2121015]
431086,[9128.913],4678.37890625,7990.837890625,[ 1.47210979 -1.76086978  6.04697617 -0.10155075],[5.2691813]
441086,[9065.033],22694.666015625,7927.50537109375,[ 1.41358814 -3.77194907 -1.86168745  1.80515385],[-0.05022095]
451086,[8466.976],9714.03125,8006.369140625,[-0.25179088 -2.91245883  0.65489506  1.7085868 ],[2.0649047]
461086,[5615.614],20353.576171875,7987.0615234375,[-0.48523218 -3.17335513  0.37684328  0.11995289],[-0.41849583]
471086,[8686.519],31279.193359375,8130.31982421875,[-0.3571266  -3.20967262  0.47363019  0.48448662],[0.9066782]
481086,[5440.9517],11957.2548828125,8127.982421875,[-0.21170551 -2.91848131  0.06148261 -0.70979701],[-0.16911405]
491086,[5587.3374],9453.9482421875,8052.53173828125,[-1.35460794 -0.04055107 -0.00295797 -0.03341479],[-0.20766851]
501086,[8884.865],16114.2080078125,8000.5322265625,[ 3.10650683  0.98325871  0.7283888  -1.54240848],[0.52888346]
511086,[8840.806],11005.923828125,7788.31201171875,[ 2.55676419  1.92498257 -3.1541244  -6.17626405],[0.78062975]
521086,[4570.3003],6074.1953125,7480.2119140625,[ 1.37388486  0.04971572 -0.04418525  0.06593495],[0.17181742]
531086,[4775.0347],7792.9794921875,7257.7236328125,[ 0.8093956   0.02774378 -0.43699566 -0.01299392],[0.1098586]
541086,[3269.199],14118.390625,6991.8740234375,[-0.20179147  0.01357767 -0.1117539  -0.05290377],[-0.06744952]
551086,[4120.793],26966.375,6662.34033203125,[ 1.09477734 -0.01759989  0.25876075 -0.01874317],[-0.06894173]
561086,[1957.851],17102.3046875,6526.115234375,[-0.20607531 -0.06291116  0.12671081  0.07958485],[-0.21811393]
571086,[1994.1421],21210.6953125,6027.82470703125,[ 1.18990826 -0.02316739  0.10682253  0.04690446],[-0.11934668]
581086,[2051.381],9412.6181640625,5664.89501953125,[ 0.09912925 -0.02041953  0.17471597 -0.13722319],[-0.03580739]
591086,[605.8745],7022.86767578125,5374.3369140625,[-0.33133792 -0.00301125  0.1862018   0.00987608],[-0.05028801]
601086,[2228.7852],22714.16796875,4881.84765625,[-0.07456285 -0.03418909  0.14090329 -0.00885953],[-0.13416688]
611086,[586.1637],29558.44140625,4422.7958984375,[1.3510578  0.03065582 0.62348559 0.29787947],[-0.19328937]
621086,[2488.528],27418.4921875,4220.3994140625,[-2.06654007 -0.00338062 -0.21100487  0.08215708],[-0.00609267]
631086,[651.1387],16924.205078125,4051.9521484375,[-1.55492744 -0.00498756 -0.01437337  0.15542555],[-0.17740335]
641086,[667.8217],13333.138671875,3215.296630859375,[0.39772109 0.03765612 0.00435231 0.07268235],[0.11278564]
651086,[770.8863],12364.224609375,2870.39453125,[-1.31374665  0.00382869 -0.11558382  0.01543047],[-0.09027058]
661086,[854.4611],10788.0625,2466.88720703125,[ 1.30047048  0.00809492 -0.34860012  0.04889218],[0.06873286]
671086,[592.49396],7848.6767578125,2050.912109375,[-0.58810798 -0.00891788  0.1076533  -0.02303877],[-0.00884303]
681086,[629.5043],8011.802734375,1595.3544921875,[-0.66435574 -0.0306655   0.16544383 -0.00222708],[-0.14032601]
691086,[2537.8445],15171.62109375,1312.4013671875,[-2.6984248   0.01647946  0.01935924 -0.1039869 ],[0.11869085]
701086,[1009.0908],10525.09765625,1024.50048828125,[ 2.65668821 -0.01589982 -0.05197587 -0.03760336],[0.03204387]
711086,[1043.6802],10211.564453125,912.3240356445312,[-2.16213863  0.00681685  0.12573888  0.02589581],[-0.20110188]
721086,[933.214],17300.00390625,622.2692260742188,[-1.82871695  0.01242112  0.37367618 -0.48875322],[0.3068751]
731086,[984.81586],10103.916015625,418.034423828125,[ 1.19418092 -0.03939856 -0.48674333  0.15784907],[-0.4613275]
741086,[665.821],16291.8076171875,383.3891296386719,[-0.6949798  -0.00382173 -0.12103158  0.05651974],[-0.06838709]
751086,[1335.0853],7078.0556640625,359.6313171386719,[-1.14813636 -0.01138715 -0.18890312  0.4925591 ],[-1.1392636]
761086,[701.32367],16068.63671875,117.58030700683594,[-0.3924646   0.01842829 -0.02848435 -0.0889438 ],[0.80276716]
771086,[1140.8029],31677.77734375,28.14246368408203,[ 3.35206976 -0.00337894  0.05508524  0.01428128],[-0.0455894]
781086,[780.06244],10474.5791015625,-166.449951171875,[-0.50073399  0.0019869   0.27692107 -0.63635437],[1.0174282]
791086,[731.6784],9366.6416015625,-167.23294067382812,[ 0.78028135  0.01137681  0.63127977 -0.98565966],[1.8078701]
801086,[1588.4668],12157.318359375,-148.42364501953125,[-2.06938398e+00 -2.15342811e-04  3.45530794e-01 -4.45564776e-01],[0.6029282]
811086,[909.0406],15225.0625,-195.47723388671875,[-0.98760582 -0.00851198 -0.09673077  0.42668273],[-0.90691745]
821086,[1319.1609],9261.4375,-148.97120666503906,[ 0.81000748 -0.01168661  0.66519101 -1.41390975],[2.1566362]
831086,[1251.9503],6832.943359375,-202.4664306640625,[ 0.68780618 -0.01370225 -0.68272945  1.51373607],[-2.470496]
841086,[1242.8656],5489.1455078125,-59.756736755371094,[ 1.76499059  0.01063972 -0.28359897  1.13042716],[-1.7649244]
851086,[959.5812],6037.8037109375,-54.02796173095703,[-0.82537478 -0.00597179  0.42502356 -0.79778717],[1.1291628]
861086,[782.6062],3264.2392578125,-99.74444580078125,[-0.75476045 -0.06159383 -0.02528639 -0.10134139],[-0.9390129]
871086,[990.7637],4787.87841796875,-110.97850036621094,[ 0.40935916  0.03089951  0.14862148 -0.26515986],[1.1431414]
881086,[754.668],5982.1689453125,-29.085494995117188,[-0.72625739 -0.03665625  0.44331003 -0.85500695],[-0.23241475]
891086,[790.5528],21398.994140625,46.79909896850586,[-0.82226398 -0.04233261  0.26711296 -0.75236763],[-0.10889375]
901086,[886.8207],3592.310546875,42.936466217041016,[-0.2439339   0.05693234 -0.11696331  0.32222776],[0.8566106]
911086,[757.74725],5784.70263671875,176.87811279296875,[-0.2716973   0.04270036 -0.0745091  -0.17998499],[0.5426333]
921086,[794.09576],4426.97705078125,61.23093032836914,[-0.75346352  0.06689709  0.35990665 -0.84858881],[1.86819]
931086,[2051.1172],59625.98828125,149.26136779785156,[ 2.30439538 -0.03592728 -0.61512622 -0.22422789],[-0.01699048]
941086,[842.77155],8708.8427734375,35.79117202758789,[-0.89874833  0.00493071  0.23008563 -0.50959404],[-0.13895139]
951086,[1637.5579],31856.521484375,279.4713134765625,[ 1.43819771  0.04611819 -0.32414389 -0.37654288],[1.1913937]
