step,rewards,qf1_loss,actor_loss,observations,action
28019,[11021.903],4898.24560546875,196.80838012695312,[-1.19306979  3.08043565 -0.34768106 -0.04284757],[-0.17729823]
36830,[10885.623],644.5592651367188,1937.413818359375,[-2.30681736  3.09894159  0.14046704  0.05397593],[-0.02139641]
46830,[9825.262],8001.85546875,3571.535400390625,[-0.32640183  3.14258816 -0.05791591 -0.02226191],[0.0049951]
56830,[10119.136],15898.560546875,4442.20703125,[-1.98278242  3.13092067 -0.07504611 -0.10268604],[0.02300146]
66830,[12953.086],3905.599609375,5594.8271484375,[-7.18805058  3.13964992 -0.06161504 -0.01710106],[-0.00861089]
76392,[7984.2373],526.7901611328125,10186.693359375,[1.01051409e+01 3.14929608e+00 3.67691564e+00 4.77980127e-03],[0.37706453]
86174,[9845.187],1299.3765869140625,6702.55322265625,[ 0.4056094   3.12132349 -0.02266601 -0.06128665],[0.04172063]
96174,[9834.239],204.5678253173828,7103.6435546875,[-0.1485646   3.12941693  0.02939022  0.06143325],[0.00904305]
106174,[10184.518],154.5713348388672,8184.60302734375,[-2.366789    3.14127897  0.0255441  -0.01936434],[0.0068838]
116174,[10307.666],113.66928100585938,8236.84765625,[-3.20502814  3.15945554  0.06202371  0.09460712],[-0.04428621]
126174,[9961.619],551.7342529296875,10356.3583984375,[1.57356077 3.14505582 0.11050102 0.01381271],[0.02296263]
136174,[10025.49],484.89697265625,8486.16796875,[-3.08077079  3.14520356 -0.09679276  0.00825288],[-0.00199907]
146174,[9858.867],95.5411605834961,10557.015625,[ 0.57247001  3.14465746 -0.01944275  0.07385817],[-0.03282623]
156174,[9724.082],485.87274169921875,9239.689453125,[0.59742298 3.17497997 0.13708517 0.78454571],[-0.25114918]
166174,[9812.234],144.18179321289062,8935.63671875,[0.15720575 3.14329299 0.01265203 0.02594378],[-0.00796848]
176174,[9776.292],22.78942108154297,10539.783203125,[ 0.82476809  3.13584923 -0.03401734 -0.02649404],[0.00986998]
186174,[10353.198],38.71448516845703,10359.11328125,[-4.5211556   3.13095302 -0.63534962  0.01845935],[-0.05329916]
196174,[9726.698],27.949443817138672,9424.447265625,[0.27223932 3.12034854 0.22011031 1.02313839],[0.16722709]
206174,[9933.436],36.380069732666016,9578.828125,[-2.85283073  3.14675606 -0.45473964  0.03217243],[0.04694146]
216174,[10084.993],24.51251220703125,9784.708984375,[ 2.49090507  3.15504036  0.17707846 -0.02341751],[-0.00734639]
226174,[10191.779],16.757123947143555,9686.4228515625,[-3.49792334  3.13578703 -0.26529982  0.01451287],[0.00677317]
236174,[9759.282],14.56407356262207,9651.734375,[-1.06172373  3.08641772 -0.3967284  -0.49210974],[0.00883257]
246174,[9697.111],11.264314651489258,9634.341796875,[-0.15906742  3.24607751  0.01275128 -1.15417922],[-0.5071687]
256174,[10366.995],24.28289794921875,10705.123046875,[-3.4642956   3.11719977 -0.23885957 -0.26237302],[-0.03529549]
266174,[9731.686],8.231192588806152,9641.880859375,[ 0.61062707  2.9288554  -0.03307344  0.0205659 ],[0.12692484]
276174,[9997.131],8.908151626586914,9803.44921875,[ 3.16236863  3.1233622   0.20175343 -0.25570499],[-0.04678342]
286174,[9642.427],13.865168571472168,9714.712890625,[ 0.1708019   2.81531928 -0.29059846 -0.37760373],[0.00642397]
296174,[9646.695],5.972174167633057,9660.3515625,[ 0.21312341  3.13748081 -0.19320873 -1.47905659],[-0.37330413]
306174,[10408.143],9.242579460144043,9919.072265625,[-3.81134738  3.13572279 -0.12365095  0.02906805],[0.00070187]
316174,[9856.787],10.171932220458984,9560.841796875,[ 2.07314697  3.14181931  0.58348646 -0.02883937],[0.05723172]
326174,[9868.408],17.88825798034668,9608.953125,[1.11658557 3.12055646 0.07345921 0.14379233],[0.01167884]
336174,[9743.441],26.09040069580078,9565.00390625,[ 5.57476786e-01  3.12461103e+00 -8.39722535e-04 -1.56181318e-01],[0.01228434]
346174,[9778.239],14.749361038208008,9530.4853515625,[ 0.69719791  3.13867336 -0.23235367  0.04720117],[-0.11899927]
356174,[9797.797],44.97557830810547,9546.314453125,[ 1.13465395  3.15150292 -0.00731884 -0.02676034],[0.03095818]
366174,[9443.524],698.8021850585938,9720.8359375,[0.52592099 3.26173392 0.37777011 0.11890927],[1.0848937]
376174,[9183.102],19.385385513305664,9444.685546875,[ 0.01491624  2.67668109 -0.37031786  2.63141668],[-1.1993151]
386174,[9443.885],18.207820892333984,9384.173828125,[ 0.15184925  2.05850091 -0.36305132 -1.66351871],[-0.5106825]
396174,[10511.873],8.840892791748047,10109.005859375,[3.78403555 3.09156236 0.07872275 0.00903068],[-0.04493904]
406174,[9818.343],60.59442901611328,9381.5,[ 0.03034608  2.69527121 -0.97531067 -4.94472475],[-1.2149247]
416174,[9338.192],33.8553466796875,9382.701171875,[-0.15585     2.46172728 -0.26957693 -3.51856191],[-1.1928198]
426174,[9637.083],87.46775817871094,9338.86328125,[-0.38583748  1.6044478  -1.45887269 -1.72468672],[-1.2379503]
436142,[9166.439],287.1300354003906,9222.1171875,[-0.58173306  1.74900359  0.25332945  2.92132279],[1.7278404]
446142,[9550.791],16697.251953125,9810.453125,[-5.00594206 -3.69696962 -0.1851425   0.65792151],[0.06515253]
456142,[10292.368],154.32025146484375,9338.0654296875,[1.32343491 2.27666308 0.79527422 3.96407139],[2.904859]
466142,[9396.721],840.434814453125,9367.4150390625,[ 0.32212386  2.52429305 -0.37242712 -2.65174166],[-0.21993355]
476142,[10156.],5919.5673828125,9367.791015625,[-1.99076528 -3.67379833 -1.10992548  0.68794487],[0.13515317]
486142,[11185.817],1568.60400390625,9294.734375,[ -2.69301839  -3.46648532  -1.79087798 -11.02016024],[-3.6811793]
496142,[11535.177],1570.7479248046875,9281.6845703125,[-5.81077357 -1.75219667  1.28059436  1.25054999],[0.8649251]
506142,[8541.945],944.6749267578125,9028.4775390625,[-0.70228766  1.14851182 -0.63541215 -2.10974462],[3.4069278]
516121,[9496.941],335.56982421875,9014.24609375,[-0.33639193  3.40585857  0.83889961  2.75432993],[-0.84561133]
526121,[8556.676],346.938720703125,9011.5576171875,[ 0.37307285 -3.60679312 -1.65338128 -9.53136167],[-1.554934]
536121,[10642.847],678.2483520507812,9198.10546875,[-4.15543956  2.41767111 -0.73519216 -2.90629112],[0.03577775]
