step,rewards,qf1_loss,actor_loss,observations,action
75000,[-119.69404],318273.75,4335.06689453125,[-4.58121607  3.14075774  0.03646231 -0.0056421 ],[0.00051391]
76000,[-118.22654],152256.3125,4466.15576171875,[-3.99734106  3.08406221 -0.86309854 -1.76004146],[-1.285782]
77000,[-123.32859],216028.28125,4415.74462890625,[-4.15935386  3.14529508 -0.65196895 -1.07501709],[-2.3606067]
78000,[-134.72125],358934.28125,4476.35888671875,[-4.1927557   3.10827984  0.73745776  0.82436748],[3.3849442]
79000,[-120.10269],290719.28125,4380.2314453125,[-4.86374511  3.09254005 -0.14729266 -0.07142994],[0.01059395]
80000,[-126.56881],127613.8984375,4423.982421875,[-5.21169669  3.15012704  0.02070886 -0.02353497],[0.06551597]
81000,[-125.18469],184793.078125,4532.5908203125,[-5.33017811e+00  3.11127183e+00 -2.59302771e-03 -7.62112434e-03],[-0.09095243]
82000,[-129.18173],207289.5625,4523.7001953125,[-5.48004514  3.1461597   0.08811275 -0.00854656],[0.16799173]
83000,[-133.95427],101168.296875,4467.501953125,[-5.8847207   3.1496177   0.09130865 -0.00747079],[0.16243356]
84000,[-137.30492],295235.5,4501.7431640625,[-6.15734501  3.13275966  0.01580978 -0.07415194],[0.1769863]
85000,[-143.60486],214005.03125,4353.27685546875,[-6.68938005  3.14122569 -0.06247311 -0.00925486],[0.08932012]
86000,[-147.59541],233367.40625,4593.67822265625,[-6.76970705  3.18765292  0.3342804  -0.00844063],[0.03457806]
87000,[-142.60027],456445.3125,4517.05419921875,[-6.55690858  3.18667365  0.13094829  0.21385711],[-0.1410757]
87076,[27351.143],196790.1875,4695.27978515625,[ 2.03582541e-03  3.14287000e+00  6.90341272e-04 -3.34901992e-03],[-0.20286122]
88000,[-117.135994],231689.84375,4534.349609375,[-4.21492625  3.14932256 -0.0726777  -0.14473523],[-0.14878634]
89000,[-117.440155],182605.84375,4579.8837890625,[-4.27789298  3.14192911  0.06985936 -0.09094201],[-0.04635069]
90000,[-115.6002],243641.71875,4542.986328125,[-4.47010602  3.09381543  0.26107002  0.44986526],[0.44050616]
91000,[-141.8685],165537.078125,4558.677734375,[-4.73471341  3.21142946 -0.56351682 -0.42237306],[-3.2447755]
92000,[-122.02196],299134.0625,4642.49951171875,[-4.59496571  3.1613647   0.30130981 -0.07875   ],[0.14077547]
93000,[-160.3067],234087.09375,4591.2490234375,[-4.2886737   3.30286084 -1.18120914 -5.22176524],[-3.9014335]
94000,[-164.72643],155131.765625,4377.24267578125,[-4.08706242  3.02805659 -1.14270569 -4.86755881],[0.330806]
