step,rewards,qf1_loss,actor_loss,observations,action
25575,[9307.059],506174.75,146.856689453125,[1.02583494e+01 3.15161064e+00 4.87690663e+00 3.39286851e-03],[0.39854562]
35188,[10225.041],635.2009887695312,1233.2750244140625,[ 2.40755806  3.15324528 -0.02174196  0.05383551],[0.0298498]
45188,[10540.89],1914.9107666015625,2635.3505859375,[-2.79977753e+00  3.12891673e+00 -9.80610692e-04 -1.13464027e-01],[-0.03602261]
55188,[14151.52],1938.4296875,3210.2001953125,[ 7.94639683  3.12708344  0.19742554 -0.11452724],[0.02044772]
65188,[9760.397],2614.72998046875,4336.01611328125,[-1.41161989  3.19311883 -0.77015745 -0.09386717],[-0.01680961]
75186,[11126.32],3219.8759765625,5266.7451171875,[-3.89066004  3.14137718  0.08248389 -0.03153998],[-0.01560546]
85186,[11614.052],5819.64404296875,5825.13671875,[-5.41051632  3.12294576 -0.02648246  0.06144793],[-0.03320508]
93743,[11413.981],1846.942138671875,8240.4189453125,[8.04877145 3.05758341 0.99689604 0.08025157],[-0.07506573]
103743,[9991.559],1538.507568359375,8000.9306640625,[-2.86414215  3.12873265 -0.44760019  0.00540992],[0.08495999]
113743,[10012.973],775.4470825195312,8563.56640625,[2.45661525 3.14059028 0.48907081 0.05385254],[0.03976581]
123720,[9847.036],776.0733032226562,8848.5908203125,[ 3.09960414e-01  3.11693043e+00 -7.83430383e-04 -3.31021567e-02],[-0.04067595]
133720,[9860.965],697.98681640625,8056.908203125,[-0.80631787  3.14047951  0.00984855 -0.00756316],[0.01198183]
143720,[10053.163],307.39288330078125,8215.3623046875,[-2.30941247  3.14120893 -0.11796472  0.09648797],[0.1527097]
153720,[9965.19],290.2303466796875,8608.23828125,[-1.77470856  3.12114177 -0.15380018 -0.45210707],[-0.30133262]
163720,[9860.038],126.92774963378906,8509.693359375,[-0.48772332  3.12690007  0.04344104 -0.13656227],[-0.04153314]
173720,[9845.8],204.84869384765625,8862.001953125,[-0.56755426  3.15632794  0.01461056  0.02385972],[-0.03384593]
183720,[9612.04],279.47467041015625,8635.171875,[1.14212462 3.33481355 0.40980034 0.63312642],[-0.00179091]
193720,[10365.433],188.4659423828125,8726.8466796875,[-2.3894814   3.14891838  0.11250645  0.02702815],[-0.00391714]
203720,[9813.8],45.078163146972656,8850.5419921875,[-0.20620215  3.15301736 -0.01916722 -0.07680627],[-0.00976089]
213720,[9754.264],203.97238159179688,8970.16015625,[-0.09166765  3.09736652 -0.00933658  0.01063542],[0.10612157]
223699,[9728.65],123.99283599853516,8958.578125,[-0.56653308  1.76918011 -0.96815357 -0.79681864],[0.81090325]
233699,[9756.242],54.251216888427734,9012.01171875,[-0.69281828  1.89411462 -1.20190352 -1.7715158 ],[0.23752865]
243699,[9594.072],95.634765625,9101.302734375,[ 0.03957618  2.68187619 -0.19892152 -0.31794236],[-0.16912526]
253699,[9695.717],30.786052703857422,9134.26953125,[ 0.18566784  3.16637613 -0.01013511  0.16369399],[0.18783075]
263674,[9480.039],37316.94921875,9556.66796875,[ 0.73599369  3.25834545 -1.21155473 -6.99927891],[-1.7620243]
273477,[13880.73],5562.97216796875,9507.4560546875,[-7.69215170e+00  3.15923202e+00  2.50085344e-03 -1.92665189e-01],[-0.13359231]
283477,[9670.04],1097.40380859375,8707.421875,[-0.81599588  2.26909898 -0.56626942  6.28171481],[1.5605222]
293477,[9450.911],131.25997924804688,8458.0556640625,[-0.93171254  3.3470096   1.34151002 -0.93924281],[0.41758496]
303477,[9360.905],113.319580078125,8606.6123046875,[-0.5627976   3.74495077  0.56034365 -0.22476256],[2.3820271]
313420,[9914.979],1836.310302734375,8862.23046875,[-1.30245929  3.0920554  -0.10597994  0.0324054 ],[-0.03526542]
323420,[9707.433],571.8428955078125,8808.236328125,[-0.6665366   3.04202821  1.52076917  9.96673834],[2.2006392]
333420,[9526.611],1040.2568359375,8811.880859375,[-1.11272693 -3.22664056  0.07791898 -0.15299018],[-0.0946034]
343420,[9309.209],626.0687255859375,8796.140625,[-0.93205231  1.53192706 -1.53449607 -1.05835546],[2.543445]
353406,[9861.051],929.4984130859375,8776.7109375,[-1.7598135  -3.09550628  0.05411022 -0.10958395],[0.10655859]
363406,[9298.873],352.3661193847656,8617.15625,[-0.98868365  1.69162948 -0.4605617  -0.5614332 ],[3.1636333]
373406,[9907.359],2007.030517578125,8371.58984375,[-3.67667948  3.18118671 -0.93656178 -5.65170122],[-0.9182129]
383361,[8374.26],3554.0517578125,7981.88232421875,[0.7393078  3.79844644 1.23083836 1.32549189],[-0.38082358]
393361,[2660.9534],4221.47509765625,7132.86181640625,[-0.97513748  0.00825148 -0.61951754  2.24177126],[-3.0777874]
403234,[3818.8374],5495.83447265625,5758.66015625,[-3.64765627  0.00384728  0.08620289 -0.15175536],[0.26139158]
413234,[8184.2393],4402.10595703125,4802.0849609375,[-1.73989838  1.16763878 -1.80583365 -5.9535862 ],[-1.3728414]
423222,[6594.6104],18035.453125,4142.96875,[0.11692301 0.19857974 0.8441424  6.33970493],[-3.210379]
433181,[667.80273],6958.61181640625,2632.162841796875,[-0.70258278 -0.0300334  -0.15809449  0.2057297 ],[-0.16854209]
443181,[1035.2499],636.35009765625,1643.90234375,[-2.28920348 -0.00718746 -0.12603002  0.00519507],[-0.01062167]
453181,[683.9554],3960.8671875,1196.080810546875,[-8.98021940e-01  7.63511319e-04 -2.61158235e-02  8.24734931e-02],[0.00214231]
463181,[1596.2572],1574.147705078125,712.3321533203125,[-3.81908091 -0.04366995  0.46318479 -0.27145335],[0.14798945]
473181,[696.0603],639.1007080078125,525.0906982421875,[-0.35318331  0.02122871 -0.3325619   0.55897821],[-0.81872696]
482888,[11477.352],5886.05078125,435.06060791015625,[ 1.92152378 -3.15378631 -4.90301761  1.77566257],[0.99005246]
492874,[4778.752],12149.5625,1237.4744873046875,[-1.2754101  -0.05985531  0.33254832  0.16563032],[-0.4315457]
502874,[1308.8082],3882.544677734375,271.02679443359375,[-0.92037471 -0.03717606  0.07222702 -0.04532933],[0.1655669]
512842,[616.32947],1737.4227294921875,19.630939483642578,[ 0.05360292 -0.00415209  0.30192629  0.2891703 ],[-0.19866037]
522641,[997.38885],674.2628173828125,15.992868423461914,[ 0.34026711  0.03713504 -0.64063481  0.03638689],[0.07661663]
532641,[669.9962],245.63543701171875,-236.29220581054688,[-0.2052413   0.00895092  0.12014355 -0.51816279],[0.9540522]
542641,[679.3142],154.81857299804688,-285.5968933105469,[ 9.19958957e-01 -7.96422333e-04  1.40627583e-01 -3.87726776e-01],[0.4519687]
549321,[7291.757],16126.9130859375,-355.91046142578125,[12.6479568   4.00573601 53.94570823 -1.3491665 ],[27.821554]
549821,[6630.977],22506.53125,-509.7641906738281,[12.10961882  3.58699399 53.41740536  0.79844235],[29.324583]
550374,[4946.4663],5546.099609375,-257.2326354980469,[12.10322256  3.72623532 32.15139569 -1.51143048],[8.316261]
551469,[4053.9177],15989.1318359375,243.04611206054688,[10.10182713  2.81001551  9.76876139  2.33028609],[6.2147408]
556285,[1989.0796],18025.640625,308.55694580078125,[-10.06368273  -3.06415244 -10.76647287 -12.75705782],[-3.234994]
560405,[10481.255],302803.6875,-1146.158447265625,[-1.25723452  3.31538111 -0.87119533 -3.03616285],[-3.0643446]
563974,[2512.909],1031148.875,-4913.0107421875,[-10.3927878    3.01092643  -2.82704352  15.75485823],[7.709693]
564473,[6882.1416],3613740.25,-10824.43359375,[-10.56290167   2.52187013 -52.46835048  -3.73913451],[-29.574183]
564873,[6692.7764],11925826.0,-16624.912109375,[-10.3692604    2.57295532 -51.52189067  -2.75875049],[-29.047369]
565273,[6820.412],21255528.0,-21533.078125,[-10.49825295   2.52132399 -52.23690204  -3.60706587],[-29.513521]
565673,[6865.626],34235504.0,-27789.75,[-10.55130564   2.52461599 -52.39226462  -3.66720293],[-29.52557]
566073,[6933.3457],52718624.0,-36010.8984375,[-10.61013336   2.51034802 -52.70868979  -3.96832835],[-29.732092]
566473,[7036.8066],113109232.0,-45871.546875,[-10.69334811   2.48558787 -53.19691019  -4.42244519],[-30.]
566873,[7041.7275],245301728.0,-66771.8203125,[-10.70014022   2.4878142  -53.21041567  -4.41599233],[-30.]
567273,[7027.492],495902656.0,-86959.875,[-10.69612862   2.47918003 -53.18320471  -4.46033918],[-30.]
567673,[7013.795],831511808.0,-106093.109375,[-10.66858136   2.49504147 -53.07751274  -4.29360456],[-29.930027]
568073,[6867.748],1378703616.0,-129722.09375,[-10.53553238   2.53261281 -52.38019298  -3.59954836],[-29.56127]
568473,[6922.282],1822224896.0,-153501.609375,[-10.58582566   2.51571562 -52.64608299  -3.88180483],[-29.669285]
568873,[6917.5693],2706924544.0,-174256.671875,[-10.57910834   2.51954463 -52.61932306  -3.84949814],[-29.684694]
569273,[6932.607],3927806976.0,-208109.09375,[-10.60333631   2.52152248 -52.6730816   -3.8507214 ],[-29.690773]
569673,[6980.154],5489175552.0,-240551.09375,[-10.63915235   2.5061414  -52.90515501  -4.10930958],[-29.805346]
